"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"1","1","1","Sep 3, 2015","","Thu","Arizona","42","","Texas-San Antonio","32",""
"2","2","1","Sep 3, 2015","","Thu","Ball State","48","","Non-Major","36",""
"3","3","1","Sep 3, 2015","","Thu","Connecticut","20","","Non-Major","15",""
"4","4","1","Sep 3, 2015","","Thu","Duke","37","@","Tulane","7",""
"5","5","1","Sep 3, 2015","","Thu","Florida International","15","@","Central Florida","14",""
"6","6","1","Sep 3, 2015","","Thu","Fresno State","34","","Non-Major","13",""
"7","7","1","Sep 3, 2015","","Thu","Georgia Tech","69","","Non-Major","6",""
"8","8","1","Sep 3, 2015","","Thu","Hawaii","28","","Colorado","20",""
"9","9","1","Sep 3, 2015","","Thu","Nevada","31","","Non-Major","17",""
"10","10","1","Sep 3, 2015","","Thu","Ohio","45","@","Idaho","28",""
"11","11","1","Sep 3, 2015","","Thu","Oklahoma State","24","@","Central Michigan","13",""
"12","12","1","Sep 3, 2015","","Thu","San Jose State","43","","Non-Major","13",""
"13","13","1","Sep 3, 2015","","Thu","South Carolina","17","","North Carolina","13",""
"14","14","1","Sep 3, 2015","","Thu","Texas Christian","23","@","Minnesota","17",""
"15","15","1","Sep 3, 2015","","Thu","Utah","24","","Michigan","17",""
"16","16","1","Sep 3, 2015","","Thu","Utah State","12","","Non-Major","9",""
"17","17","1","Sep 3, 2015","","Thu","Wake Forest","41","","Non-Major","3",""
"18","18","1","Sep 3, 2015","","Thu","Western Kentucky","14","@","Vanderbilt","12",""
"19","19","1","Sep 4, 2015","","Fri","Baylor","56","@","Southern Methodist","21",""
"20","20","1","Sep 4, 2015","","Fri","Boise State","16","","Washington","13",""
"21","21","1","Sep 4, 2015","","Fri","Non-Major","23","@","Georgia State","20",""
"22","22","1","Sep 4, 2015","","Fri","Non-Major","37","@","Army","35",""
"23","23","1","Sep 4, 2015","","Fri","Michigan State","37","@","Western Michigan","24",""
"24","24","1","Sep 4, 2015","","Fri","Oregon State","26","","Non-Major","7",""
"25","25","1","Sep 4, 2015","","Fri","Syracuse","47","","Non-Major","0",""
"26","26","1","Sep 5, 2015","","Sat","Air Force","63","","Non-Major","7",""
"27","27","1","Sep 5, 2015","","Sat","Alabama","35","","Wisconsin","17",""
"28","28","1","Sep 5, 2015","","Sat","Appalachian State","49","","Non-Major","0",""
"29","29","1","Sep 5, 2015","","Sat","Arkansas","48","","Texas-El Paso","13",""
"30","30","1","Sep 5, 2015","","Sat","Auburn","31","","Louisville","24",""
"31","31","1","Sep 5, 2015","","Sat","Boston College","24","","Non-Major","3",""
"32","32","1","Sep 5, 2015","","Sat","Brigham Young","33","@","Nebraska","28",""
"33","33","1","Sep 5, 2015","","Sat","Buffalo","51","","Non-Major","14",""
"34","34","1","Sep 5, 2015","","Sat","California","73","","Non-Major","14",""
"35","35","1","Sep 5, 2015","","Sat","Cincinnati","52","","Non-Major","10",""
"36","36","1","Sep 5, 2015","","Sat","Clemson","49","","Non-Major","10",""
"37","37","1","Sep 5, 2015","","Sat","Colorado State","65","","Non-Major","13",""
"38","38","1","Sep 5, 2015","","Sat","East Carolina","28","","Non-Major","20",""
"39","39","1","Sep 5, 2015","","Sat","Florida","61","","New Mexico State","13",""
"40","40","1","Sep 5, 2015","","Sat","Florida State","59","","Texas State","16",""
"41","41","1","Sep 5, 2015","","Sat","Georgia","51","","Louisiana-Monroe","14",""
"42","42","1","Sep 5, 2015","","Sat","Houston","52","","Non-Major","24",""
"43","43","1","Sep 5, 2015","","Sat","Illinois","52","","Kent State","3",""
"44","44","1","Sep 5, 2015","","Sat","Indiana","48","","Non-Major","47",""
