"Team","X","Opponent","Date","Game.ID","Off.Plays","Off.Tot.Yds","Off.Tot.Avg","Off.Pass","Off.Rush","Off.Pen","Off.Tot","Off.Fum","Off.Tot.TD","Off.Pass.Att","Off.Cmp","Off.Pct","Off.Pass.Yds","Off.Pass.Avg","Off.Pass.TD","Off.Int","Off.Rush.Att","Off.Rush.Yds","Off.Rush.Avg","Off.Rush.TD","Off.X.2PM","Off.X.2PM.Pass","Off.X.2PM.Rush","Off.Points","Off.FGA","Off.FGM","Off.XPA","Off.XPM","Off.X3rdDown..Attempts","Off.X3rdDown..Conversions","Off.X3rdDown..Conversion..","Off.X4thDown..Attempts","Off.X4thDown..Conversions","Off.X4thDown..Conversion..","Off.RedZone..Attempts","Off.RedZone..Scores","Off.RedZone..Score..","Off.RedZone..TD","Off.RedZone..TD..","Off.RedZone..FG","Off.RedZone..FG..","Off.FGF","Off.FG.","Off.XPF","Off.XP.","Off.Incmp","Off.X3rdDown..Failed","Off.Tot.TO","Off.Points.Team","Off.Pass.Pts","Off.Rush.Pts","Off.Kicking.Pts","Off.ST.KickRet.Ret","Off.ST.KickRet.Yds","Off.ST.KickRet.Avg","Off.ST.KickRet.TD","Off.ST.PuntRet.Ret","Off.ST.PuntRet.Yds","Off.ST.PuntRet.Avg","Off.ST.PuntRet.TD","Off.ST.Punting.Punts","Off.ST.Punting.Yds","Off.ST.Punting.Avg","Off.ST.Kickoff.No","Off.ST.Kickoff.Yds","Off.ST.Kickoff.Avg","Off.ST.Kickoff.Touchbacks","Off.ST.Kickoff.Touchbacks..","Off.ST.Kickoff.OutOfBounds","Off.ST.Kickoff.Onside","Off.ST.Tot.TO","Off.ST.Return.TD","Off.ST.Return.Points","Off.ST.Return.Yds","Off.ST.Return.Ret","Off.ST.Return.Avg","Def.FGR.TD","Def.Sfty","Def.QB.Hurries","Def.KicksPunts.Blocked","Def.Points.Team","Def.Tackles.Solo","Def.Tackles.Ast","Def.Tackles.Tot","Def.Tackles.Loss","Def.Tackles.Sk","Def.Int.Int","Def.Int.Yds","Def.Int.Avg","Def.Int.TD","Def.Int.PD","Def.Fumbles.FR","Def.Fumbles.Yds","Def.Fumbles.TD","Def.Fumbles.FF","Def.Tot.Yds","Def.Tot.TD","Def.Tot.Pts","Def.Tot.TO","Def.ST.KicksPunts.Blocked","Def.ST.Fumbles.TD","Def.ST.Receiving.TD","Def.ST.Receiving.Pts","Off_w_ST.Tot.TO","Off_w_ST.Fum","Off_w_ST.Int","Def_w_ST.Tot.Fumbles.TD","Off.X4thDown..Failed","Off_w_ST.Plays","Off_w_ST.Yds","Off_w_ST.Yds.Avg","Off_w_ST.Pts","Off_w_ST.TD","Def_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Yds","Off.Minus.Def.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off.Minus.Def.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off.Minus.Def.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.TD.TO.Diff","Off_w_ST.Tot.TO.NonScoring","Off.TD.FR.by.Off","No.Possessions","No.Empty.Possessions","No.Scoring.Possessions","No.Negative.Possessions","Homefield"
"Air Force","","Non-Major","2010-09-04",1,69,311,4.5,12,3,1,16,0,3,37,22,59.5,249,6.7,2,1,32,62,1.94,1,0,0,0,21,0,0,3,3,18,8,44.44,0,0,0,4,3,75,3,75,0,0,0,0,0,1,15,10,1,21,12,6,3,6,126,21,0,1,0,0,0,10,437,43.7,4,228,57,1,25,1,0,0,0,0,126,7,18,0,0,0,0,21,35,42,77,8,5,1,50,50,0,4,0,0,0,0,50,0,0,1,0,0,0,0,1,0,1,0,0,76,437,5.75,21,3,0,0,50,21,21,261,387,3,3,2,1,0,14,11,3,0,""
"Air Force","","Brigham Young","2010-09-11",2,59,309,5.2,5,6,4,15,0,2,25,10,40,88,3.5,0,1,34,221,6.5,2,0,0,0,14,0,0,2,2,15,6,40,2,1,50,2,2,100,2,100,0,0,0,0,0,1,15,9,1,14,0,12,2,4,81,20.25,0,2,13,6.5,0,6,176,29.33,3,183,61,2,66.67,0,0,2,0,0,94,6,15.6666666666667,0,0,0,0,14,30,28,58,3,1,1,1,1,0,4,0,0,0,3,1,0,0,1,0,0,0,0,3,2,1,0,1,65,403,6.2,14,2,0,0,1,14,14,308,402,2,2,-1,3,0,12,10,2,0,""
"Air Force","@","Oklahoma","2010-09-18",3,76,367,4.8,14,9,1,24,0,3,42,26,61.9,254,6,1,0,34,113,3.32,2,0,0,0,27,2,2,3,3,15,7,46.67,1,0,0,4,4,100,3,75,1,25,0,1,0,1,16,8,0,27,6,12,9,3,77,25.67,0,1,7,7,0,4,200,50,6,409,68.17,3,50,0,0,0,0,0,84,4,21,0,0,1,0,27,37,44,81,6,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,80,451,5.6375,27,3,0,0,0,27,27,367,451,3,3,3,0,0,10,5,5,0,"@"
"Air Force","@","Wyoming","2010-09-25",4,45,240,5.3,2,10,0,12,0,2,11,6,54.5,66,6,0,1,34,174,5.12,2,0,0,0,14,0,0,2,2,9,4,44.44,1,1,100,3,2,66.67,2,66.67,0,0,0,0,0,1,5,5,1,14,0,12,2,4,97,24.25,0,0,0,0,0,4,174,43.5,3,207,69,1,33.33,0,0,1,0,0,97,4,24.25,0,0,0,0,14,31,22,53,5,0,1,23,23,0,1,0,0,0,2,23,0,0,1,0,0,0,0,2,1,1,0,0,49,337,6.87755102040816,14,2,0,0,23,14,14,217,314,2,2,0,2,0,8,6,2,0,"@"
"Air Force","","Navy","2010-10-02",5,68,312,4.6,6,9,2,17,0,0,18,6,33.3,103,5.7,0,2,50,209,4.18,0,0,0,0,6,3,2,0,0,15,5,33.33,0,0,0,3,2,66.67,0,0,2,66.67,1,0.666666666666667,0,0,12,10,2,6,0,0,6,2,53,26.5,0,2,15,7.5,0,6,188,31.33,3,210,70,3,100,0,0,0,0,0,68,4,17,0,0,0,1,6,34,42,76,6,1,2,10,10,0,3,0,0,0,0,10,0,0,2,1,0,0,0,2,0,2,0,0,72,380,5.27777777777778,6,0,0,0,10,6,6,302,370,0,0,-2,2,0,11,9,2,0,""
"Air Force","","Colorado State","2010-10-09",6,85,421,5,8,15,0,23,1,4,35,22,62.9,136,3.9,1,1,50,285,5.7,3,0,0,0,27,0,0,4,3,18,9,50,4,2,50,5,4,80,4,80,0,0,0,0,1,0.75,13,9,2,27,6,18,3,8,263,32.88,0,1,2,2,0,4,136,34,5,322,64.4,1,20,0,0,0,0,0,265,9,29.4444444444444,0,0,0,2,27,53,44,97,4,1,1,30,30,0,8,1,0,0,2,30,0,0,2,2,0,0,0,2,1,1,0,2,94,686,7.29787234042553,27,4,0,0,30,27,27,391,656,4,4,2,2,0,12,8,4,0,""
"Air Force","@","San Diego State","2010-10-16",7,58,452,7.8,8,8,0,16,0,3,27,14,51.9,247,9.1,1,1,31,205,6.61,2,0,0,0,27,3,2,3,3,11,5,45.45,0,0,0,4,3,75,1,25,2,50,1,0.666666666666667,0,1,13,6,1,27,6,12,9,6,92,15.33,0,0,0,0,0,4,173,43.25,5,312,62.4,0,0,1,0,0,0,0,92,6,15.3333333333333,0,0,0,0,27,37,6,43,4,1,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,64,544,8.5,27,3,0,0,0,27,27,452,544,3,3,2,1,0,11,6,5,0,"@"
"Air Force","@","Texas Christian","2010-10-23",8,71,562,7.9,8,22,0,30,0,5,20,11,55,185,9.3,1,1,51,377,7.39,4,0,0,0,38,1,1,5,5,10,6,60,2,1,50,6,6,100,5,83.33,1,16.67,0,1,0,1,9,4,1,38,6,24,8,2,46,23,0,0,0,0,0,0,0,0,7,458,65.43,0,0,0,0,0,0,0,46,2,23,0,0,0,0,38,45,22,67,1,0,1,19,19,0,2,0,0,0,0,19,0,0,1,0,0,0,0,1,0,1,0,1,73,608,8.32876712328767,38,5,0,0,19,38,38,543,589,5,5,4,1,0,8,2,6,0,"@"
"Air Force","","Utah","2010-10-30",9,74,327,4.4,7,12,0,19,0,4,23,15,65.2,148,6.4,1,1,51,179,3.51,3,0,0,0,28,1,0,4,4,17,8,47.06,3,2,66.67,3,3,100,3,100,0,0,1,0,0,1,8,9,1,28,6,18,4,3,33,11,0,0,0,0,0,5,167,33.4,5,346,69.2,4,80,0,0,0,0,0,33,3,11,0,0,0,0,28,33,56,89,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,77,360,4.67532467532468,28,4,0,0,0,28,28,327,360,4,4,3,1,0,12,8,4,0,""
"Air Force","@","Army","2010-11-06",10,63,325,5.2,6,12,1,19,1,2,13,6,46.2,81,6.2,1,1,50,244,4.88,1,0,0,0,22,3,3,1,1,17,10,58.82,0,0,0,3,3,100,2,66.67,1,33.33,0,1,0,1,7,7,2,22,6,6,10,4,82,20.5,0,2,16,8,0,4,169,42.25,6,340,56.67,0,0,0,0,0,0,0,98,6,16.3333333333333,0,0,0,0,22,40,26,66,7,0,1,32,32,0,4,1,52,1,0,84,1,6,2,0,0,0,0,2,1,1,1,0,69,423,6.1304347826087,22,2,1,6,84,16,16,241,339,1,1,0,1,0,11,6,5,1,"@"
