"","Team","X","Opponent","Result","Date"
"1","Air Force","","Colgate","W (48-7)","2019-08-31"
"2","Air Force","@","Colorado","W (30-23)","2019-09-14"
"3","Air Force","@","Boise State","L (19-30)","2019-09-20"
"4","Air Force","","San Jose State","W (41-24)","2019-09-27"
"5","Air Force","@","Navy","L (25-34)","2019-10-05"
"6","Air Force","","Fresno State","W (43-24)","2019-10-12"
"7","Air Force","@","Hawaii","W (56-26)","2019-10-19"
"8","Air Force","","Utah State","W (31-7)","2019-10-26"
"9","Air Force","","Army","W (17-13)","2019-11-02"
"10","Air Force","@","Colorado State","W (38-21)","2019-11-16"
"11","Air Force","@","New Mexico","W (44-22)","2019-11-23"
"12","Air Force","","Wyoming","W (20-6)","2019-11-30"
"13","Air Force","N","Washington State","W (31-21)","2019-12-27"
"14","Akron","@","Illinois","L (3-42)","2019-08-31"
"15","Akron","","Alabama-Birmingham","L (20-31)","2019-09-07"
"16","Akron","@","Central Michigan","L (24-45)","2019-09-14"
"17","Akron","","Troy","L (7-35)","2019-09-21"
"18","Akron","@","Massachusetts","L (29-37)","2019-09-28"
"19","Akron","","Kent State","L (3-26)","2019-10-12"
"20","Akron","","Buffalo","L (0-21)","2019-10-19"
"21","Akron","@","Northern Illinois","L (0-49)","2019-10-26"
"22","Akron","@","Bowling Green State","L (6-35)","2019-11-02"
"23","Akron","","Eastern Michigan","L (14-42)","2019-11-12"
"24","Akron","@","Miami (OH)","L (17-20)","2019-11-20"
"25","Akron","","Ohio","L (3-52)","2019-11-26"
"26","Alabama-Birmingham","","Alabama State","W (24-19)","2019-08-29"
"28","Alabama-Birmingham","","South Alabama","W (35-3)","2019-09-21"
"29","Alabama-Birmingham","@","Western Kentucky","L (13-20)","2019-09-28"
"30","Alabama-Birmingham","","Rice","W (35-20)","2019-10-05"
"31","Alabama-Birmingham","@","Texas-San Antonio","W (33-14)","2019-10-12"
"32","Alabama-Birmingham","","Old Dominion","W (38-14)","2019-10-19"
"33","Alabama-Birmingham","@","Tennessee","L (7-30)","2019-11-02"
"34","Alabama-Birmingham","@","Southern Mississippi","L (2-37)","2019-11-09"
"35","Alabama-Birmingham","","Texas-El Paso","W (37-10)","2019-11-16"
"36","Alabama-Birmingham","","Louisiana Tech","W (20-14)","2019-11-23"
"37","Alabama-Birmingham","@","North Texas","W (26-21)","2019-11-30"
"38","Alabama-Birmingham","@","Florida Atlantic","L (6-49)","2019-12-07"
"39","Alabama-Birmingham","N","Appalachian State","L (17-31)","2019-12-21"
"110","Alabama","N","Duke","W (42-3)","2019-08-31"
"27","Alabama","","New Mexico State","W (62-10)","2019-09-07"
"310","Alabama","@","South Carolina","W (47-23)","2019-09-14"
"41","Alabama","","Southern Mississippi","W (49-7)","2019-09-21"
"51","Alabama","","Mississippi","W (59-31)","2019-09-28"
"61","Alabama","@","Texas A&M","W (47-28)","2019-10-12"
"71","Alabama","","Tennessee","W (35-13)","2019-10-19"
"81","Alabama","","Arkansas","W (48-7)","2019-10-26"
"91","Alabama","","Louisiana State","L (41-46)","2019-11-09"
"101","Alabama","@","Mississippi State","W (38-7)","2019-11-16"
"111","Alabama","","Western Carolina","W (66-3)","2019-11-23"
"121","Alabama","@","Auburn","L (45-48)","2019-11-30"
"131","Alabama","N","Michigan","W (35-16)","2020-01-01"
"112","Appalachian State","","East Tennessee State","W (42-7)","2019-08-31"
"210","Appalachian State","","Charlotte","W (56-41)","2019-09-07"
"311","Appalachian State","@","North Carolina","W (34-31)","2019-09-21"
"42","Appalachian State","","Coastal Carolina","W (56-37)","2019-09-28"
"52","Appalachian State","@","Louisiana","W (17-7)","2019-10-09"
"62","Appalachian State","","Louisiana-Monroe","W (52-7)","2019-10-19"
"72","Appalachian State","@","South Alabama","W (30-3)","2019-10-26"
"82","Appalachian State","","Georgia Southern","L (21-24)","2019-10-31"
"92","Appalachian State","@","South Carolina","W (20-15)","2019-11-09"
"102","Appalachian State","@","Georgia State","W (56-27)","2019-11-16"
"113","Appalachian State","","Texas State","W (35-13)","2019-11-23"
"122","Appalachian State","@","Troy","W (48-13)","2019-11-29"
"132","Appalachian State","","Louisiana","W (45-38)","2019-12-07"
"114","Arizona State","","Kent State","W (30-7)","2019-08-29"
"211","Arizona State","","Sacramento State","W (19-7)","2019-09-06"
"312","Arizona State","@","Michigan State","W (10-7)","2019-09-14"
"43","Arizona State","","Colorado","L (31-34)","2019-09-21"
"53","Arizona State","@","California","W (24-17)","2019-09-27"
"63","Arizona State","","Washington State","W (38-34)","2019-10-12"
"73","Arizona State","@","Utah","L (3-21)","2019-10-19"
"83","Arizona State","@","UCLA","L (32-42)","2019-10-26"
"93","Arizona State","","Southern California","L (26-31)","2019-11-09"
"103","Arizona State","@","Oregon State","L (34-35)","2019-11-16"
"115","Arizona State","","Oregon","W (31-28)","2019-11-23"
"123","Arizona State","","Arizona","W (24-14)","2019-11-30"
"133","Arizona State","N","Florida State","W (20-14)","2019-12-31"
"116","Arizona","@","Hawaii","L (38-45)","2019-08-24"
"212","Arizona","","Northern Arizona","W (65-41)","2019-09-07"
"313","Arizona","","Texas Tech","W (28-14)","2019-09-14"
"44","Arizona","","UCLA","W (20-17)","2019-09-28"
"54","Arizona","@","Colorado","W (35-30)","2019-10-05"
"64","Arizona","","Washington","L (27-51)","2019-10-12"
"74","Arizona","@","Southern California","L (14-41)","2019-10-19"
"84","Arizona","@","Stanford","L (31-41)","2019-10-26"
"94","Arizona","","Oregon State","L (38-56)","2019-11-02"
"104","Arizona","@","Oregon","L (6-34)","2019-11-16"
"117","Arizona","","Utah","L (7-35)","2019-11-23"
"118","Arkansas State","","Southern Methodist","L (30-37)","2019-08-31"
"213","Arkansas State","@","Nevada-Las Vegas","W (43-17)","2019-09-07"
"314","Arkansas State","@","Georgia","L (0-55)","2019-09-14"
"45","Arkansas State","","Southern Illinois","W (41-28)","2019-09-21"
"55","Arkansas State","@","Troy","W (50-43)","2019-09-28"
