,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,1,08/24/19,,Sat,(8) Florida,24,,Miami (FL),20,Camping World Stadium - Orlando Florida
2,2,1,08/24/19,,Sat,Hawaii,45,,Arizona,38,Aloha Stadium - Honolulu Hawaii
3,3,2,08/29/19,,Thu,Alabama-Birmingham,24,,Alabama State,19,Legion Field - Birmingham Alabama
4,4,2,08/29/19,,Thu,Arizona State,30,,Kent State,7,Sun Devil Stadium - Tempe Arizona
5,5,2,08/29/19,,Thu,Bowling Green State,46,,Morgan State,3,Doyt Perry Stadium - Bowling Green Ohio
6,6,2,08/29/19,,Thu,Buffalo,38,,Robert Morris,10,UB Stadium - Buffalo New York
7,7,2,08/29/19,,Thu,Central Arkansas,35,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
8,8,2,08/29/19,,Thu,(17) Central Florida,62,,Florida A&M,0,Spectrum Stadium - Orlando Florida
9,9,2,08/29/19,,Thu,Central Michigan,38,,Albany,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
10,10,2,08/29/19,,Thu,Charlotte,49,,Gardner-Webb,28,Jerry Richardson Stadium - Charlotte North Carolina
11,11,2,08/29/19,,Thu,Cincinnati,24,,UCLA,14,Nippert Stadium - Cincinnati Ohio
12,12,2,08/29/19,,Thu,(1) Clemson,52,,Georgia Tech,14,Clemson Memorial Stadium - Clemson South Carolina
13,13,2,08/29/19,,Thu,Connecticut,24,,Wagner,21,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
14,14,2,08/29/19,,Thu,Minnesota,28,,South Dakota State,21,TCF Bank Stadium - Minneapolis Minnesota
15,15,2,08/29/19,,Thu,San Jose State,35,,Northern Colorado,18,CEFCU Stadium - San Jose California
16,16,2,08/29/19,,Thu,(12) Texas A&M,41,,Texas State,7,Kyle Field - College Station Texas
17,17,2,08/29/19,,Thu,Tulane,42,,Florida International,14,Yulman Stadium - New Orleans Louisiana
18,18,2,08/29/19,,Thu,(14) Utah,30,@,Brigham Young,12,LaVell Edwards Stadium - Provo Utah
19,19,2,08/30/19,,Fri,Army,14,,Rice,7,Michie Stadium - West Point New York
20,20,2,08/30/19,,Fri,Colorado,52,,Colorado State,31,Empower Field at Mile High - Denver Colorado
21,21,2,08/30/19,,Fri,(18) Michigan State,28,,Tulsa,7,Spartan Stadium - East Lansing Michigan
22,22,2,08/30/19,,Fri,Nevada,34,,Purdue,31,MacKay Stadium - Reno Nevada
23,23,2,08/30/19,,Fri,Oklahoma State,52,@,Oregon State,36,Reser Stadium - Corvallis Oregon
24,24,2,08/30/19,,Fri,Rutgers,48,,Massachusetts,21,SHI Stadium - Piscataway New Jersey
25,25,2,08/30/19,,Fri,Wake Forest,38,,Utah State,35,BB&T Field - Winston-Salem North Carolina
26,26,2,08/30/19,,Fri,(19) Wisconsin,49,@,South Florida,0,Raymond James Stadium - Tampa Florida
27,27,2,08/31/19,,Sat,Air Force,48,,Colgate,7,Falcon Stadium - Colorado Springs Colorado
28,28,2,08/31/19,,Sat,(2) Alabama,42,,Duke,3,Mercedes-Benz Stadium - Atlanta Georgia
29,29,2,08/31/19,,Sat,Appalachian State,42,,East Tennessee State,7,Kidd Brewer Stadium - Boone North Carolina
30,30,2,08/31/19,,Sat,Arkansas,20,,Portland State,13,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
31,31,2,08/31/19,,Sat,(16) Auburn,27,,(11) Oregon,21,AT&T Stadium - Arlington Texas
32,32,2,08/31/19,,Sat,Baylor,56,,Stephen F. Austin,17,McLane Stadium - Waco Texas
33,33,2,08/31/19,,Sat,Boise State,36,@,Florida State,31,Doak Campbell Stadium - Tallahassee Florida
34,34,2,08/31/19,,Sat,Boston College,35,,Virginia Tech,28,Alumni Stadium - Chestnut Hill Massachusetts
35,35,2,08/31/19,,Sat,California,27,,California-Davis,13,California Memorial Stadium - Berkeley California
36,36,2,08/31/19,,Sat,Eastern Michigan,30,@,Coastal Carolina,23,Brooks Stadium - Conway South Carolina
37,37,2,08/31/19,,Sat,(3) Georgia,30,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
38,38,2,08/31/19,,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
39,39,2,08/31/19,,Sat,Illinois,42,,Akron,3,Memorial Stadium - Champaign Illinois
