"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (38-13)","2013-08-31"
"2","Air Force","","Utah State","L (20-52)","2013-09-07"
"3","Air Force","@","Boise State","L (20-42)","2013-09-13"
"4","Air Force","","Wyoming","L (23-56)","2013-09-21"
"5","Air Force","@","Nevada","L (42-45)","2013-09-28"
"6","Air Force","@","Navy","L (10-28)","2013-10-05"
"7","Air Force","","San Diego State","L (20-27)","2013-10-10"
"8","Air Force","","Notre Dame","L (10-45)","2013-10-26"
"9","Air Force","","Army","W (42-28)","2013-11-02"
"10","Air Force","@","New Mexico","L (37-45)","2013-11-08"
"11","Air Force","","Nevada-Las Vegas","L (21-41)","2013-11-21"
"12","Air Force","@","Colorado State","L (13-58)","2013-11-30"
"13","Akron","@","Central Florida","L (7-38)","2013-08-29"
"14","Akron","","Non-Major","W (35-33)","2013-09-07"
"15","Akron","@","Michigan","L (24-28)","2013-09-14"
"16","Akron","","Louisiana","L (30-35)","2013-09-21"
"17","Akron","@","Bowling Green State","L (14-31)","2013-09-28"
"18","Akron","","Ohio","L (3-43)","2013-10-05"
"19","Akron","@","Northern Illinois","L (20-27)","2013-10-12"
"20","Akron","@","Miami (OH)","W (24-17)","2013-10-19"
"21","Akron","","Ball State","L (24-42)","2013-10-26"
"22","Akron","","Kent State","W (16-7)","2013-11-02"
"23","Akron","N","Massachusetts","W (14-13)","2013-11-16"
"24","Akron","","Toledo","W (31-29)","2013-11-29"
"25","Alabama-Birmingham","@","Troy","L (31-34)","2013-08-31"
"26","Alabama-Birmingham","@","Louisiana State","L (17-56)","2013-09-07"
"27","Alabama-Birmingham","","Non-Major","W (52-28)","2013-09-21"
"28","Alabama-Birmingham","@","Vanderbilt","L (24-52)","2013-09-28"
"29","Alabama-Birmingham","","Florida Atlantic","L (23-37)","2013-10-05"
"30","Alabama-Birmingham","@","Florida International","W (27-24)","2013-10-12"
"31","Alabama-Birmingham","@","Texas-San Antonio","L (31-52)","2013-10-26"
"32","Alabama-Birmingham","","Middle Tennessee State","L (21-24)","2013-11-02"
"33","Alabama-Birmingham","@","Marshall","L (14-56)","2013-11-09"
"34","Alabama-Birmingham","@","East Carolina","L (14-63)","2013-11-16"
"35","Alabama-Birmingham","","Rice","L (34-37)","2013-11-21"
"36","Alabama-Birmingham","","Southern Mississippi","L (27-62)","2013-11-30"
"37","Alabama","N","Virginia Tech","W (35-10)","2013-08-31"
"38","Alabama","@","Texas A&M","W (49-42)","2013-09-14"
"39","Alabama","","Colorado State","W (31-6)","2013-09-21"
"40","Alabama","","Mississippi","W (25-0)","2013-09-28"
"41","Alabama","","Georgia State","W (45-3)","2013-10-05"
"42","Alabama","@","Kentucky","W (48-7)","2013-10-12"
"43","Alabama","","Arkansas","W (52-0)","2013-10-19"
"44","Alabama","","Tennessee","W (45-10)","2013-10-26"
"45","Alabama","","Louisiana State","W (38-17)","2013-11-09"
"46","Alabama","@","Mississippi State","W (20-7)","2013-11-16"
"47","Alabama","","Non-Major","W (49-0)","2013-11-23"
"48","Alabama","@","Auburn","L (28-34)","2013-11-30"
"49","Alabama","N","Oklahoma","L (31-45)","2014-01-02"
"50","Arizona State","","Non-Major","W (55-0)","2013-09-05"
"51","Arizona State","","Wisconsin","W (32-30)","2013-09-14"
"52","Arizona State","@","Stanford","L (28-42)","2013-09-21"
"53","Arizona State","","Southern California","W (62-41)","2013-09-28"
"54","Arizona State","N","Notre Dame","L (34-37)","2013-10-05"
"55","Arizona State","","Colorado","W (54-13)","2013-10-12"
"56","Arizona State","","Washington","W (53-24)","2013-10-19"
"57","Arizona State","@","Washington State","W (55-21)","2013-10-31"
"58","Arizona State","@","Utah","W (20-19)","2013-11-09"
"59","Arizona State","","Oregon State","W (30-17)","2013-11-16"
"60","Arizona State","@","UCLA","W (38-33)","2013-11-23"
"61","Arizona State","","Arizona","W (58-21)","2013-11-30"
"62","Arizona State","","Stanford","L (14-38)","2013-12-07"
"63","Arizona State","N","Texas Tech","L (23-37)","2013-12-30"
"64","Arizona","","Non-Major","W (35-0)","2013-08-30"
"65","Arizona","@","Nevada-Las Vegas","W (58-13)","2013-09-07"
"66","Arizona","","Texas-San Antonio","W (38-13)","2013-09-14"
"67","Arizona","@","Washington","L (13-31)","2013-09-28"
"68","Arizona","@","Southern California","L (31-38)","2013-10-10"
"69","Arizona","","Utah","W (35-24)","2013-10-19"
"70","Arizona","@","Colorado","W (44-20)","2013-10-26"
"71","Arizona","@","California","W (33-28)","2013-11-02"
"72","Arizona","","UCLA","L (26-31)","2013-11-09"
"73","Arizona","","Washington State","L (17-24)","2013-11-16"
"74","Arizona","","Oregon","W (42-16)","2013-11-23"
"75","Arizona","N","Boston College","W (42-19)","2013-12-31"
"76","Arkansas State","","Non-Major","W (62-11)","2013-08-31"
"77","Arkansas State","@","Auburn","L (9-38)","2013-09-07"
"78","Arkansas State","","Troy","W (41-34)","2013-09-12"
"79","Arkansas State","@","Memphis","L (7-31)","2013-09-21"
"80","Arkansas State","@","Missouri","L (19-41)","2013-09-28"
"81","Arkansas State","","Idaho","W (48-24)","2013-10-12"
"82","Arkansas State","","Louisiana","L (7-23)","2013-10-22"
"83","Arkansas State","@","South Alabama","W (17-16)","2013-11-02"
"84","Arkansas State","@","Louisiana-Monroe","W (42-14)","2013-11-09"
"85","Arkansas State","","Texas State","W (38-21)","2013-11-16"
"86","Arkansas State","","Georgia State","W (35-33)","2013-11-23"
"87","Arkansas State","@","Western Kentucky","L (31-34)","2013-11-30"
"88","Arkansas State","N","Ball State","W (23-20)","2014-01-05"
"89","Arkansas","","Louisiana","W (34-14)","2013-08-31"
"90","Arkansas","","Non-Major","W (31-21)","2013-09-07"
"91","Arkansas","","Southern Mississippi","W (24-3)","2013-09-14"
"92","Arkansas","@","Rutgers","L (24-28)","2013-09-21"
"93","Arkansas","","Texas A&M","L (33-45)","2013-09-28"
"94","Arkansas","@","Florida","L (10-30)","2013-10-05"
"95","Arkansas","","South Carolina","L (7-52)","2013-10-12"
"96","Arkansas","","Auburn","L (17-35)","2013-11-02"
"97","Arkansas","@","Mississippi","L (24-34)","2013-11-09"
"98","Arkansas","","Mississippi State","L (17-24)","2013-11-23"
"99","Arkansas","@","Louisiana State","L (27-31)","2013-11-29"
"100","Army","","Non-Major","W (28-12)","2013-08-30"
"101","Army","@","Ball State","L (14-40)","2013-09-07"
"102","Army","","Stanford","L (20-34)","2013-09-14"
"103","Army","","Wake Forest","L (11-25)","2013-09-21"
"104","Army","N","Louisiana Tech","W (35-16)","2013-09-28"
"105","Army","@","Boston College","L (27-48)","2013-10-05"
"106","Army","","Eastern Michigan","W (50-25)","2013-10-12"
"107","Army","@","Temple","L (14-33)","2013-10-19"
"108","Army","","Western Kentucky","L (17-21)","2013-11-09"
"109","Army","@","Hawaii","L (42-49)","2013-11-30"
"110","Army","N","Navy","L (7-34)","2013-12-14"
"111","Auburn","","Washington State","W (31-24)","2013-08-31"
"112","Auburn","","Mississippi State","W (24-20)","2013-09-14"
"113","Auburn","@","Louisiana State","L (21-35)","2013-09-21"
"114","Auburn","","Mississippi","W (30-22)","2013-10-05"
"115","Auburn","","Non-Major","W (62-3)","2013-10-12"
"116","Auburn","@","Texas A&M","W (45-41)","2013-10-19"
"117","Auburn","","Florida Atlantic","W (45-10)","2013-10-26"
"118","Auburn","@","Tennessee","W (55-23)","2013-11-09"
"119","Auburn","","Georgia","W (43-38)","2013-11-16"
"120","Auburn","N","Missouri","W (59-42)","2013-12-07"
"121","Auburn","N","Florida State","L (31-34)","2014-01-06"
"122","Ball State","","Non-Major","W (51-28)","2013-08-29"
"123","Ball State","@","North Texas","L (27-34)","2013-09-14"
"124","Ball State","@","Eastern Michigan","W (51-20)","2013-09-21"
"125","Ball State","","Toledo","W (31-24)","2013-09-28"
"126","Ball State","@","Virginia","W (48-27)","2013-10-05"
"127","Ball State","","Kent State","W (27-24)","2013-10-12"
"128","Ball State","@","Western Michigan","W (38-17)","2013-10-19"
"129","Ball State","","Central Michigan","W (44-24)","2013-11-06"
"130","Ball State","@","Northern Illinois","L (27-48)","2013-11-13"
"131","Ball State","","Miami (OH)","W (55-14)","2013-11-29"
"132","Baylor","","Non-Major","W (69-3)","2013-08-31"
"133","Baylor","","Buffalo","W (70-13)","2013-09-07"
"134","Baylor","","Louisiana-Monroe","W (70-7)","2013-09-21"
"135","Baylor","","West Virginia","W (73-42)","2013-10-05"
"136","Baylor","@","Kansas State","W (35-25)","2013-10-12"
"137","Baylor","","Iowa State","W (71-7)","2013-10-19"
"138","Baylor","@","Kansas","W (59-14)","2013-10-26"
"139","Baylor","","Oklahoma","W (41-12)","2013-11-07"
"140","Baylor","N","Texas Tech","W (63-34)","2013-11-16"
"141","Baylor","@","Oklahoma State","L (17-49)","2013-11-23"
"142","Baylor","@","Texas Christian","W (41-38)","2013-11-30"
"143","Baylor","","Texas","W (30-10)","2013-12-07"
"144","Baylor","N","Central Florida","L (42-52)","2014-01-01"
"145","Boise State","@","Washington","L (6-38)","2013-08-31"
"146","Boise State","","Non-Major","W (63-14)","2013-09-07"
"147","Boise State","@","Fresno State","L (40-41)","2013-09-20"
"148","Boise State","","Southern Mississippi","W (60-7)","2013-09-28"
"149","Boise State","@","Utah State","W (34-23)","2013-10-12"
"150","Boise State","","Nevada","W (34-17)","2013-10-19"
"151","Boise State","@","Brigham Young","L (20-37)","2013-10-25"
"152","Boise State","@","Colorado State","W (42-30)","2013-11-02"
"153","Boise State","","Wyoming","W (48-7)","2013-11-16"
"154","Boise State","@","San Diego State","L (31-34)","2013-11-23"
"155","Boise State","","New Mexico","W (45-17)","2013-11-30"
"156","Boise State","N","Oregon State","L (23-38)","2013-12-24"
"157","Boston College","","Non-Major","W (24-14)","2013-08-31"
"158","Boston College","","Wake Forest","W (24-10)","2013-09-06"
"159","Boston College","@","Southern California","L (7-35)","2013-09-14"
"160","Boston College","","Florida State","L (34-48)","2013-09-28"
"161","Boston College","@","Clemson","L (14-24)","2013-10-12"
"162","Boston College","@","North Carolina","L (10-34)","2013-10-26"
"163","Boston College","","Virginia Tech","W (34-27)","2013-11-02"
"164","Boston College","@","New Mexico State","W (48-34)","2013-11-09"
"165","Boston College","","North Carolina State","W (38-21)","2013-11-16"
"166","Boston College","@","Maryland","W (29-26)","2013-11-23"
"167","Boston College","@","Syracuse","L (31-34)","2013-11-30"
"168","Bowling Green State","","Tulsa","W (34-7)","2013-08-29"
"169","Bowling Green State","@","Kent State","W (41-22)","2013-09-07"
"170","Bowling Green State","@","Indiana","L (10-42)","2013-09-14"
"171","Bowling Green State","","Non-Major","W (48-7)","2013-09-21"
"172","Bowling Green State","","Massachusetts","W (28-7)","2013-10-05"
"173","Bowling Green State","@","Mississippi State","L (20-21)","2013-10-12"
"174","Bowling Green State","","Toledo","L (25-28)","2013-10-26"
"175","Bowling Green State","@","Miami (OH)","W (45-3)","2013-11-05"
"176","Bowling Green State","","Ohio","W (49-0)","2013-11-12"
"177","Bowling Green State","@","Eastern Michigan","W (58-7)","2013-11-23"
"178","Bowling Green State","N","Buffalo","W (24-7)","2013-11-29"
"179","Bowling Green State","N","Northern Illinois","W (47-27)","2013-12-06"
"180","Bowling Green State","N","Pittsburgh","L (27-30)","2013-12-26"
"181","Brigham Young","@","Virginia","L (16-19)","2013-08-31"
"182","Brigham Young","","Texas","W (40-21)","2013-09-07"
"183","Brigham Young","","Utah","L (13-20)","2013-09-21"
"184","Brigham Young","","Middle Tennessee State","W (37-10)","2013-09-27"
"185","Brigham Young","@","Utah State","W (31-14)","2013-10-04"
"186","Brigham Young","","Georgia Tech","W (38-20)","2013-10-12"
"187","Brigham Young","N","Houston","W (47-46)","2013-10-19"
"188","Brigham Young","@","Wisconsin","L (17-27)","2013-11-09"
"189","Brigham Young","@","Notre Dame","L (13-23)","2013-11-23"
"190","Brigham Young","@","Nevada","W (28-23)","2013-11-30"
"191","Brigham Young","N","Washington","L (16-31)","2013-12-27"
"192","Buffalo","@","Ohio State","L (20-40)","2013-08-31"
"193","Buffalo","","Non-Major","W (26-23)","2013-09-14"
"194","Buffalo","","Connecticut","W (41-12)","2013-09-28"
"195","Buffalo","","Eastern Michigan","W (42-14)","2013-10-05"
"196","Buffalo","@","Western Michigan","W (33-0)","2013-10-12"
"197","Buffalo","","Massachusetts","W (32-3)","2013-10-19"
"198","Buffalo","@","Kent State","W (41-21)","2013-10-26"
"199","Buffalo","","Ohio","W (30-3)","2013-11-05"
"200","Buffalo","@","Toledo","L (41-51)","2013-11-12"
"201","Buffalo","@","Miami (OH)","W (44-7)","2013-11-19"
"202","Buffalo","N","San Diego State","L (24-49)","2013-12-21"
"203","California","","Northwestern","L (30-44)","2013-08-31"
"204","California","","Non-Major","W (37-30)","2013-09-07"
"205","California","","Ohio State","L (34-52)","2013-09-14"
"206","California","@","Oregon","L (16-55)","2013-09-28"
"207","California","","Washington State","L (22-44)","2013-10-05"
"208","California","@","UCLA","L (10-37)","2013-10-12"
"209","California","","Oregon State","L (17-49)","2013-10-19"
"210","California","@","Washington","L (17-41)","2013-10-26"
"211","California","","Southern California","L (28-62)","2013-11-09"
"212","California","@","Colorado","L (24-41)","2013-11-16"
"213","California","@","Stanford","L (13-63)","2013-11-23"
"214","Central Florida","@","Florida International","W (38-0)","2013-09-06"
"215","Central Florida","@","Penn State","W (34-31)","2013-09-14"
"216","Central Florida","","South Carolina","L (25-28)","2013-09-28"
"217","Central Florida","@","Memphis","W (24-17)","2013-10-05"
"218","Central Florida","@","Louisville","W (38-35)","2013-10-18"
"219","Central Florida","","Connecticut","W (62-17)","2013-10-26"
"220","Central Florida","","Houston","W (19-14)","2013-11-09"
"221","Central Florida","@","Temple","W (39-36)","2013-11-16"
"222","Central Florida","","Rutgers","W (41-17)","2013-11-21"
"223","Central Florida","","South Florida","W (23-20)","2013-11-29"
"224","Central Florida","@","Southern Methodist","W (17-13)","2013-12-07"
"225","Central Michigan","@","Michigan","L (9-59)","2013-08-31"
"226","Central Michigan","","Non-Major","W (24-21)","2013-09-07"
"227","Central Michigan","@","Nevada-Las Vegas","L (21-31)","2013-09-14"
"228","Central Michigan","","Toledo","L (17-38)","2013-09-21"
"229","Central Michigan","@","North Carolina State","L (14-48)","2013-09-28"
"230","Central Michigan","@","Miami (OH)","W (21-9)","2013-10-05"
"231","Central Michigan","@","Ohio","W (26-23)","2013-10-12"
"232","Central Michigan","","Northern Illinois","L (17-38)","2013-10-19"
"233","Central Michigan","@","Western Michigan","W (27-22)","2013-11-16"
"234","Central Michigan","","Massachusetts","W (37-0)","2013-11-23"
"235","Central Michigan","","Eastern Michigan","W (42-10)","2013-11-29"
"236","Cincinnati","","Purdue","W (42-7)","2013-08-31"
"237","Cincinnati","@","Illinois","L (17-45)","2013-09-07"
"238","Cincinnati","","Non-Major","W (66-9)","2013-09-14"
"239","Cincinnati","@","Miami (OH)","W (14-0)","2013-09-21"
"240","Cincinnati","@","South Florida","L (20-26)","2013-10-05"
"241","Cincinnati","","Temple","W (38-20)","2013-10-11"
"242","Cincinnati","","Connecticut","W (41-16)","2013-10-19"
"243","Cincinnati","@","Memphis","W (34-21)","2013-10-30"
"244","Cincinnati","","Southern Methodist","W (28-25)","2013-11-09"
"245","Cincinnati","@","Rutgers","W (52-17)","2013-11-16"
"246","Cincinnati","N","Houston","W (24-17)","2013-11-23"
"247","Cincinnati","","Louisville","L (24-31)","2013-12-05"
"248","Cincinnati","N","North Carolina","L (17-39)","2013-12-28"
"249","Clemson","","Georgia","W (38-35)","2013-08-31"
"250","Clemson","","Non-Major","W (52-13)","2013-09-07"
