,Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
51,51,2,09/01/18,03:30:00 PM,Sat,Kentucky,35,,Central Michigan,20,Kroger Field - Lexington Kentucky
52,52,2,09/01/18,06:00:00 PM,Sat,Liberty,52,,Old Dominion,10,Williams Stadium - Lynchburg Virginia
53,53,2,09/01/18,07:00:00 PM,Sat,Louisiana,49,,Grambling State,17,Cajun Field - Lafayette Louisiana
54,54,2,09/01/18,07:00:00 PM,Sat,Louisiana Tech,30,@,South Alabama,26,Ladd-Peebles Stadium - Mobile Alabama
55,55,2,09/01/18,07:00:00 PM,Sat,Marshall,35,@,Miami (OH),28,Fred Yager Stadium - Oxford Ohio
56,56,2,09/01/18,12:00:00 PM,Sat,Maryland,34,,(23) Texas,29,FedExField - Landover Maryland
57,57,2,09/01/18,07:00:00 PM,Sat,Memphis,66,,Mercer,14,Liberty Bowl Memorial Stadium - Memphis Tennessee
58,58,2,09/01/18,12:00:00 PM,Sat,Mississippi,47,,Texas Tech,27,NRG Stadium - Houston Texas
59,59,2,09/01/18,07:30:00 PM,Sat,(18) Mississippi State,63,,Stephen F. Austin,6,Davis Wade Stadium - Starkville Mississippi
60,60,2,09/01/18,04:00:00 PM,Sat,Missouri,51,,Tennessee-Martin,14,Memorial Stadium/Faurot Field - Columbia Missouri
61,61,2,09/01/18,08:00:00 PM,Sat,New Mexico,62,,Incarnate Word,30,Dreamstyle Stadium - Albuquerque New Mexico
62,62,2,09/01/18,07:00:00 PM,Sat,Nicholls State,26,@,Kansas,23,Memorial Stadium - Lawrence Kansas
63,63,2,09/01/18,,Sat,North Carolina State,24,,James Madison,13,Carter-Finley Stadium - Raleigh North Carolina
64,64,2,09/01/18,07:30:00 PM,Sat,North Texas,46,,Southern Methodist,23,Apogee Stadium - Denton Texas
65,65,2,09/01/18,07:30:00 PM,Sat,Northern Arizona,30,@,Texas-El Paso,10,Sun Bowl - El Paso Texas
66,66,2,09/01/18,07:30:00 PM,Sat,(12) Notre Dame,24,,(14) Michigan,17,Notre Dame Stadium - South Bend Indiana
67,67,2,09/01/18,02:00:00 PM,Sat,Ohio,38,,Howard,32,Peden Stadium - Athens Ohio
68,68,2,09/01/18,12:00:00 PM,Sat,(5) Ohio State,77,,Oregon State,31,Ohio Stadium - Columbus Ohio
69,69,2,09/01/18,12:00:00 PM,Sat,(7) Oklahoma,63,,Florida Atlantic,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
70,70,2,09/01/18,08:00:00 PM,Sat,(24) Oregon,58,,Bowling Green State,24,Autzen Stadium - Eugene Oregon
71,71,2,09/01/18,,Sat,(10) Penn State,45,,Appalachian State,38,Beaver Stadium - University Park Pennsylvania
72,72,2,09/01/18,,Sat,Pittsburgh,33,,Albany,7,Heinz Field - Pittsburgh Pennsylvania
73,73,2,09/01/18,12:00:00 PM,Sat,Rutgers,35,,Texas State,7,High Point Solutions Stadium - Piscataway New Jersey
74,74,2,09/01/18,12:00:00 PM,Sat,South Carolina,49,,Coastal Carolina,15,Williams-Brice Stadium - Columbia South Carolina
75,75,2,09/01/18,06:00:00 PM,Sat,South Florida,34,,Elon,14,Raymond James Stadium - Tampa Florida
76,76,2,09/01/18,04:00:00 PM,Sat,(15) Southern California,43,,Nevada-Las Vegas,21,Los Angeles Memorial Coliseum - Los Angeles California
77,77,2,09/01/18,07:00:00 PM,Sat,Southern Mississippi,55,,Jackson State,7,M. M. Roberts Stadium - Hattiesburg Mississippi
78,78,2,09/01/18,12:00:00 PM,Sat,(16) Texas Christian,55,,Southern,7,Amon G. Carter Stadium - Fort Worth Texas
79,79,2,09/01/18,07:00:00 PM,Sat,Toledo,66,,Virginia Military Institute,3,Glass Bowl - Toledo Ohio
80,80,2,09/01/18,07:00:00 PM,Sat,Tulsa,38,,Central Arkansas,27,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
