"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"1","1","1","Aug 27, 2014","7:00 PM","Wed","Georgia State","38","","Non-Major","37","ESPN U"
"2","2","1","Aug 28, 2014","7:00 PM","Thu","Akron","41","","Non-Major","0","ESPN3.com"
"3","3","1","Aug 28, 2014","10:30 PM","Thu","Arizona State","45","","Non-Major","14","Pac-12 Network"
"4","4","1","Aug 28, 2014","7:00 PM","Thu","Central Michigan","20","","Non-Major","16","ESPN3.com"
"5","5","1","Aug 28, 2014","7:02 PM","Thu","Louisiana-Monroe","17","","Wake Forest","10","ESPN U"
"6","6","1","Aug 28, 2014","7:00 PM","Thu","Minnesota","42","","Non-Major","20","Big Ten Network"
"7","7","1","Aug 28, 2014","8:00 PM","Thu","Mississippi","35","","Boise State","13","ESPN"
"8","8","1","Aug 28, 2014","8:00 PM","Thu","New Mexico State","28","","Non-Major","10","ESPN3.com"
"9","9","1","Aug 28, 2014","7:00 PM","Thu","Northern Illinois","55","","Non-Major","3","ESPN3.com"
"10","10","1","Aug 28, 2014","10:00 PM","Thu","Rutgers","41","","Washington State","38","FS1"
"11","11","1","Aug 28, 2014","10:00 PM","Thu","San Jose State","42","","Non-Major","10","ESPN3.com"
"12","12","1","Aug 28, 2014","10:50 PM","Thu","Temple","37","@","Vanderbilt","7","SEC Network"
"13","13","1","Aug 28, 2014","6:00 PM","Thu","Texas A&M","52","@","South Carolina","28","SEC Network"
"14","14","1","Aug 28, 2014","8:00 PM","Thu","Tulsa","38","","Tulane","31","CBSSN"
"15","15","1","Aug 28, 2014","7:30 PM","Thu","Utah","56","","Non-Major","14","Pac-12 Network"
"16","16","1","Aug 29, 2014","10:30 PM","Fri","Arizona","58","","Nevada-Las Vegas","13","ESPN"
"17","17","1","Aug 29, 2014","7:00 PM","Fri","Brigham Young","35","@","Connecticut","10","ESPN"
"18","18","1","Aug 29, 2014","9:00 PM","Fri","Colorado State","31","","Colorado","17","FS1"
"19","19","1","Aug 29, 2014","7:30 PM","Fri","Michigan State","45","","Non-Major","7","Big Ten Network"
"20","20","1","Aug 29, 2014","7:30 PM","Fri","Syracuse","27","","Non-Major","26","ESPN3.com"
"21","21","1","Aug 29, 2014","9:00 PM","Fri","Texas-San Antonio","27","@","Houston","7","ESPN U"
"22","22","1","Aug 29, 2014","7:30 PM","Fri","Western Kentucky","59","","Bowling Green State","31","CBSSN"
"23","23","1","Aug 30, 2014","2:00 PM","Sat","Air Force","44","","Non-Major","16","ESPN3.com"
"24","24","1","Aug 30, 2014","3:30 PM","Sat","Alabama","33","","West Virginia","23","ESPN 2"
"25","25","1","Aug 30, 2014","12:00 PM","Sat","Alabama-Birmingham","48","","Troy","10","FCS"
"26","26","1","Aug 30, 2014","7:00 PM","Sat","Arkansas State","37","","Non-Major","10","ESPN3.com"
"27","27","1","Aug 30, 2014","4:00 PM","Sat","Auburn","45","","Arkansas","21","SEC Network"
"28","28","1","Aug 30, 2014","2:00 PM","Sat","Ball State","30","","Non-Major","10","ESPN3.com"
"29","29","1","Aug 30, 2014","7:00 PM","Sat","Non-Major","14","@","Florida International","12","American Sports Net"
"30","30","1","Aug 30, 2014","3:00 PM","Sat","Boston College","30","","Massachusetts","7","ESPN3.com"
"31","31","1","Aug 30, 2014","3:30 PM","Sat","Buffalo","38","","Non-Major","28","ESPN3.com"
"32","32","1","Aug 30, 2014","3:30 PM","Sat","California","31","@","Northwestern","24","ABC (ESPN 2 mirror)"
"33","33","1","Aug 30, 2014","6:00 PM","Sat","Duke","52","","Non-Major","13","ESPN3.com"
"34","34","1","Aug 30, 2014","8:00 PM","Sat","East Carolina","52","","Non-Major","7","ESPNews"
"35","35","1","Aug 30, 2014","6:00 PM","Sat","Eastern Michigan","31","","Non-Major","28","ESPN3.com"
"36","36","1","Aug 30, 2014","8:00 PM","Sat","Florida State","37","","Oklahoma State","31","ABC"
"37","37","1","Aug 30, 2014","5:30 PM","Sat","Georgia","45","","Clemson","21","ESPN"
"38","38","1","Aug 30, 2014","12:30 PM","Sat","Georgia Tech","38","","Non-Major","19","RSN, ESPN3.com"
"39","39","1","Aug 30, 2014","12:00 PM","Sat","Illinois","28","","Non-Major","17","Big Ten Network"
"40","40","1","Aug 30, 2014","12:00 PM","Sat","Indiana","28","","Non-Major","10","ESPNews"
"41","41","1","Aug 30, 2014","12:00 PM","Sat","Iowa","31","","Non-Major","23","Big Ten Network"
"42","42","1","Aug 30, 2014","7:10 PM","Sat","Kansas State","55","","Non-Major","16","K-StateHD.tv"
"43","43","1","Aug 30, 2014","12:00 PM","Sat","Kentucky","59","","Non-Major","14","SEC Network"
"44","44","1","Aug 30, 2014","7:00 PM","Sat","Louisiana","45","","Non-Major","6","ESPN3.com"
