"","Team","X","Opponent","Result","Date"
"1","Air Force","","Nicholls State","W (44-16)","2014-08-30"
"2","Air Force","@","Wyoming","L (13-17)","2014-09-06"
"3","Air Force","@","Georgia State","W (48-38)","2014-09-13"
"4","Air Force","","Boise State","W (28-14)","2014-09-27"
"5","Air Force","","Navy","W (30-21)","2014-10-04"
"6","Air Force","@","Utah State","L (16-34)","2014-10-11"
"7","Air Force","","New Mexico","W (35-31)","2014-10-18"
"8","Air Force","@","Army","W (23-6)","2014-11-01"
"9","Air Force","@","Nevada-Las Vegas","W (48-21)","2014-11-08"
"10","Air Force","","Nevada","W (45-38)","2014-11-15"
"11","Air Force","@","San Diego State","L (14-30)","2014-11-21"
"12","Air Force","","Colorado State","W (27-24)","2014-11-28"
"13","Air Force","N","Western Michigan","W (38-24)","2014-12-20"
"14","Akron","","Howard","W (41-0)","2014-08-28"
"15","Akron","@","Penn State","L (3-21)","2014-09-06"
"16","Akron","","Marshall","L (17-48)","2014-09-20"
"17","Akron","@","Pittsburgh","W (21-10)","2014-09-27"
"18","Akron","","Eastern Michigan","W (31-6)","2014-10-04"
"19","Akron","","Miami (OH)","W (29-19)","2014-10-11"
"20","Akron","@","Ohio","L (20-23)","2014-10-18"
"21","Akron","@","Ball State","L (21-35)","2014-10-25"
"22","Akron","","Bowling Green State","L (10-27)","2014-11-04"
"23","Akron","@","Buffalo","L (24-55)","2014-11-11"
"24","Akron","","Massachusetts","W (30-6)","2014-11-18"
"25","Akron","@","Kent State","L (24-27)","2014-11-28"
"26","Alabama-Birmingham","","Troy","W (48-10)","2014-08-30"
"27","Alabama-Birmingham","@","Mississippi State","L (34-47)","2014-09-06"
"28","Alabama-Birmingham","","Alabama A&M","W (41-14)","2014-09-13"
"29","Alabama-Birmingham","","Florida International","L (20-34)","2014-09-27"
"30","Alabama-Birmingham","@","Western Kentucky","W (42-39)","2014-10-04"
"31","Alabama-Birmingham","","North Texas","W (56-21)","2014-10-11"
"32","Alabama-Birmingham","@","Middle Tennessee State","L (22-34)","2014-10-18"
"33","Alabama-Birmingham","@","Arkansas","L (17-45)","2014-10-25"
"34","Alabama-Birmingham","@","Florida Atlantic","W (31-28)","2014-11-01"
"35","Alabama-Birmingham","","Louisiana Tech","L (24-40)","2014-11-08"
"36","Alabama-Birmingham","","Marshall","L (18-23)","2014-11-22"
"37","Alabama-Birmingham","@","Southern Mississippi","W (45-24)","2014-11-29"
"38","Alabama","N","West Virginia","W (33-23)","2014-08-30"
"39","Alabama","","Florida Atlantic","W (41-0)","2014-09-06"
"40","Alabama","","Southern Mississippi","W (52-12)","2014-09-13"
"41","Alabama","","Florida","W (42-21)","2014-09-20"
"42","Alabama","@","Mississippi","L (17-23)","2014-10-04"
"43","Alabama","@","Arkansas","W (14-13)","2014-10-11"
"44","Alabama","","Texas A&M","W (59-0)","2014-10-18"
"45","Alabama","@","Tennessee","W (34-20)","2014-10-25"
"46","Alabama","@","Louisiana State","W (20-13)","2014-11-08"
"47","Alabama","","Mississippi State","W (25-20)","2014-11-15"
"48","Alabama","","Western Carolina","W (48-14)","2014-11-22"
"49","Alabama","","Auburn","W (55-44)","2014-11-29"
"50","Alabama","N","Missouri","W (42-13)","2014-12-06"
"51","Alabama","N","Ohio State","L (35-42)","2015-01-01"
"52","Appalachian State","@","Michigan","L (14-52)","2014-08-30"
"53","Appalachian State","@","Southern Mississippi","L (20-21)","2014-09-20"
"54","Appalachian State","","South Alabama","L (21-47)","2014-10-04"
"55","Appalachian State","","Liberty","L (48-55)","2014-10-11"
"56","Appalachian State","@","Troy","W (53-14)","2014-10-18"
"57","Appalachian State","","Georgia State","W (44-0)","2014-11-01"
"58","Appalachian State","","Louisiana-Monroe","W (31-29)","2014-11-08"
"59","Appalachian State","@","Arkansas State","W (37-32)","2014-11-15"
"60","Appalachian State","@","Louisiana","W (35-16)","2014-11-22"
"61","Appalachian State","","Idaho","W (45-28)","2014-11-29"
"62","Arizona State","","Weber State","W (45-14)","2014-08-28"
"63","Arizona State","@","New Mexico","W (58-23)","2014-09-06"
"64","Arizona State","@","Colorado","W (38-24)","2014-09-13"
"65","Arizona State","","UCLA","L (27-62)","2014-09-25"
"66","Arizona State","@","Southern California","W (38-34)","2014-10-04"
"67","Arizona State","","Stanford","W (26-10)","2014-10-18"
"68","Arizona State","@","Washington","W (24-10)","2014-10-25"
"69","Arizona State","","Utah","W (19-16)","2014-11-01"
"70","Arizona State","","Notre Dame","W (55-31)","2014-11-08"
"71","Arizona State","@","Oregon State","L (27-35)","2014-11-15"
"72","Arizona State","","Washington State","W (52-31)","2014-11-22"
"73","Arizona State","@","Arizona","L (35-42)","2014-11-28"
"74","Arizona State","N","Duke","W (36-31)","2014-12-27"
"75","Arizona","","Nevada-Las Vegas","W (58-13)","2014-08-29"
"76","Arizona","@","Texas-San Antonio","W (26-23)","2014-09-04"
"77","Arizona","","Nevada","W (35-28)","2014-09-13"
"78","Arizona","","California","W (49-45)","2014-09-20"
"79","Arizona","@","Oregon","W (31-24)","2014-10-02"
"80","Arizona","","Southern California","L (26-28)","2014-10-11"
"81","Arizona","@","Washington State","W (59-37)","2014-10-25"
"82","Arizona","@","UCLA","L (7-17)","2014-11-01"
"83","Arizona","","Colorado","W (38-20)","2014-11-08"
"84","Arizona","","Washington","W (27-26)","2014-11-15"
"85","Arizona","@","Utah","W (42-10)","2014-11-22"
"87","Arizona","N","Oregon","L (13-51)","2014-12-05"
"88","Arizona","N","Boise State","L (30-38)","2014-12-31"
"110","Arkansas State","","Montana State","W (37-10)","2014-08-30"
"210","Arkansas State","@","Tennessee","L (19-34)","2014-09-06"
"310","Arkansas State","@","Miami (FL)","L (20-41)","2014-09-13"
"410","Arkansas State","","Utah State","W (21-14)","2014-09-20"
"510","Arkansas State","","Louisiana-Monroe","W (28-14)","2014-10-04"
"610","Arkansas State","@","Georgia State","W (52-10)","2014-10-11"
"710","Arkansas State","@","Louisiana","L (40-55)","2014-10-21"
"86","Arkansas State","@","Idaho","W (44-28)","2014-11-01"
"91","Arkansas State","","South Alabama","W (45-10)","2014-11-08"
"111","Arkansas State","@","Texas State","L (27-45)","2014-11-20"
"121","Arkansas State","","New Mexico State","W (68-35)","2014-11-29"
"131","Arkansas State","N","Toledo","L (44-63)","2015-01-04"
"112","Arkansas","@","Auburn","L (21-45)","2014-08-30"
"211","Arkansas","","Nicholls State","W (73-7)","2014-09-06"
"311","Arkansas","@","Texas Tech","W (49-28)","2014-09-13"
"411","Arkansas","","Northern Illinois","W (52-14)","2014-09-20"
"511","Arkansas","N","Texas A&M","L (28-35)","2014-09-27"
"711","Arkansas","N","Georgia","L (32-45)","2014-10-18"
"92","Arkansas","@","Mississippi State","L (10-17)","2014-11-01"
"101","Arkansas","","Louisiana State","W (17-0)","2014-11-15"
"113","Arkansas","","Mississippi","W (30-0)","2014-11-22"
"122","Arkansas","@","Missouri","L (14-21)","2014-11-28"
"132","Arkansas","N","Texas","W (31-7)","2014-12-29"
"114","Army","","Buffalo","W (47-39)","2014-09-06"
"212","Army","@","Stanford","L (0-35)","2014-09-13"
"312","Army","@","Wake Forest","L (21-24)","2014-09-20"
"412","Army","@","Yale","L (43-49)","2014-09-27"
"512","Army","","Ball State","W (33-24)","2014-10-04"
"611","Army","","Rice","L (21-41)","2014-10-11"
"712","Army","@","Kent State","L (17-39)","2014-10-18"
"93","Army","N","Connecticut","W (35-21)","2014-11-08"
"102","Army","@","Western Kentucky","L (24-52)","2014-11-15"
"115","Army","","Fordham","W (42-31)","2014-11-22"
"123","Army","N","Navy","L (10-17)","2014-12-13"
"213","Auburn","","San Jose State","W (59-13)","2014-09-06"
"313","Auburn","@","Kansas State","W (20-14)","2014-09-18"
"413","Auburn","","Louisiana Tech","W (45-17)","2014-09-27"
"513","Auburn","","Louisiana State","W (41-7)","2014-10-04"
"612","Auburn","@","Mississippi State","L (23-38)","2014-10-11"
"713","Auburn","","South Carolina","W (42-35)","2014-10-25"
"89","Auburn","@","Mississippi","W (35-31)","2014-11-01"
"94","Auburn","","Texas A&M","L (38-41)","2014-11-08"
"103","Auburn","@","Georgia","L (7-34)","2014-11-15"
"117","Auburn","","Samford","W (31-7)","2014-11-22"
"133","Auburn","N","Wisconsin","L (31-34)","2015-01-01"
"116","Ball State","","Colgate","W (30-10)","2014-08-30"
"214","Ball State","@","Iowa","L (13-17)","2014-09-06"
"314","Ball State","","Indiana State","L (20-27)","2014-09-13"
"414","Ball State","@","Toledo","L (23-34)","2014-09-20"
"613","Ball State","","Western Michigan","L (38-42)","2014-10-11"
"714","Ball State","@","Central Michigan","W (32-29)","2014-10-18"
"95","Ball State","","Northern Illinois","L (21-35)","2014-11-05"
"104","Ball State","@","Massachusetts","L (10-24)","2014-11-12"
"118","Ball State","","Eastern Michigan","W (45-30)","2014-11-22"
"124","Ball State","@","Bowling Green State","W (41-24)","2014-11-28"
"119","Baylor","","Southern Methodist","W (45-0)","2014-08-31"
"215","Baylor","","Northwestern State","W (70-6)","2014-09-06"
"315","Baylor","@","Buffalo","W (63-21)","2014-09-12"
"415","Baylor","@","Iowa State","W (49-28)","2014-09-27"
"514","Baylor","@","Texas","W (28-7)","2014-10-04"
"614","Baylor","","Texas Christian","W (61-58)","2014-10-11"
"715","Baylor","@","West Virginia","L (27-41)","2014-10-18"
"810","Baylor","","Kansas","W (60-14)","2014-11-01"
"96","Baylor","@","Oklahoma","W (48-14)","2014-11-08"
"105","Baylor","","Oklahoma State","W (49-28)","2014-11-22"
"1110","Baylor","N","Texas Tech","W (48-46)","2014-11-29"
"125","Baylor","","Kansas State","W (38-27)","2014-12-06"
"134","Baylor","N","Michigan State","L (41-42)","2015-01-01"
"120","Boise State","N","Mississippi","L (13-35)","2014-08-28"
"216","Boise State","","Colorado State","W (37-24)","2014-09-06"
"316","Boise State","@","Connecticut","W (38-21)","2014-09-13"
"416","Boise State","","Louisiana","W (34-9)","2014-09-20"
"615","Boise State","@","Nevada","W (51-46)","2014-10-04"
"716","Boise State","","Fresno State","W (37-27)","2014-10-17"
"811","Boise State","","Brigham Young","W (55-30)","2014-10-24"
"97","Boise State","@","New Mexico","W (60-49)","2014-11-08"
"106","Boise State","","San Diego State","W (38-29)","2014-11-15"
"1111","Boise State","@","Wyoming","W (63-14)","2014-11-22"
"126","Boise State","","Utah State","W (50-19)","2014-11-29"
"135","Boise State","","Fresno State","W (28-14)","2014-12-06"
"127","Boston College","N","Massachusetts","W (30-7)","2014-08-30"
"217","Boston College","","Pittsburgh","L (20-30)","2014-09-05"
"317","Boston College","","Southern California","W (37-31)","2014-09-13"
"417","Boston College","","Maine","W (40-10)","2014-09-20"
"515","Boston College","","Colorado State","L (21-24)","2014-09-27"
"616","Boston College","@","North Carolina State","W (30-14)","2014-10-11"
"717","Boston College","","Clemson","L (13-17)","2014-10-18"
"812","Boston College","@","Wake Forest","W (23-17)","2014-10-25"
"98","Boston College","@","Virginia Tech","W (33-31)","2014-11-01"
"107","Boston College","","Louisville","L (19-38)","2014-11-08"
"1112","Boston College","@","Florida State","L (17-20)","2014-11-22"
"128","Boston College","","Syracuse","W (28-7)","2014-11-29"
"136","Boston College","N","Penn State","L (30-31)","2014-12-27"
"129","Bowling Green State","@","Western Kentucky","L (31-59)","2014-08-29"
"218","Bowling Green State","","Virginia Military Institute","W (48-7)","2014-09-06"
"318","Bowling Green State","","Indiana","W (45-42)","2014-09-13"
