"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"1","1","1","Aug 26, 2017","","Sat","Brigham Young","20","","Non-Major","6",""
"2","2","1","Aug 26, 2017","","Sat","Colorado State","58","","Oregon State","27",""
"3","3","1","Aug 26, 2017","","Sat","Hawaii","38","@","Massachusetts","35",""
"4","4","1","Aug 26, 2017","","Sat","South Florida","42","@","San Jose State","22",""
"5","5","1","Aug 26, 2017","","Sat","Stanford","62","","Rice","7",""
"7","6","2","Aug 31, 2017","","Thu","Arizona State","37","","New Mexico State","31",""
"8","7","2","Aug 31, 2017","","Thu","Arkansas","49","","Non-Major","7",""
"9","8","2","Aug 31, 2017","","Thu","Central Michigan","30","","Non-Major","27",""
"10","9","2","Aug 31, 2017","","Thu","Cincinnati","26","","Non-Major","14",""
"11","10","2","Aug 31, 2017","","Thu","Connecticut","27","","Non-Major","20",""
"12","11","2","Aug 31, 2017","","Thu","Idaho","28","","Non-Major","6",""
"13","12","2","Aug 31, 2017","","Thu","Memphis","37","","Louisiana-Monroe","29",""
"14","13","2","Aug 31, 2017","","Thu","Minnesota","17","","Buffalo","7",""
"15","14","2","Aug 31, 2017","","Thu","Ohio State","49","@","Indiana","21",""
"16","15","2","Aug 31, 2017","","Thu","Oklahoma State","59","","Tulsa","24",""
"17","16","2","Aug 31, 2017","","Thu","Non-Major","17","@","Georgia State","10",""
"18","17","2","Aug 31, 2017","","Thu","Toledo","47","","Non-Major","13",""
"19","18","2","Aug 31, 2017","","Thu","Utah","37","","Non-Major","16",""
"20","19","2","Aug 31, 2017","","Thu","Wake Forest","51","","Non-Major","7",""
"21","20","2","Sep 1, 2017","","Fri","Army","64","","Non-Major","6",""
"22","21","2","Sep 1, 2017","","Fri","Boston College","23","@","Northern Illinois","20",""
"23","22","2","Sep 1, 2017","","Fri","Colorado","17","","Colorado State","3",""
"24","23","2","Sep 1, 2017","","Fri","Eastern Michigan","24","","Non-Major","7",""
"25","24","2","Sep 1, 2017","","Fri","Navy","42","@","Florida Atlantic","19",""
"26","25","2","Sep 1, 2017","","Fri","Syracuse","50","","Non-Major","7",""
"27","26","2","Sep 1, 2017","","Fri","Washington","30","@","Rutgers","14",""
"28","27","2","Sep 1, 2017","","Fri","Wisconsin","59","","Utah State","10",""
"29","28","2","Sep 2, 2017","","Sat","Air Force","62","","Non-Major","0",""
"30","29","2","Sep 2, 2017","","Sat","Alabama","24","","Florida State","7",""
"31","30","2","Sep 2, 2017","","Sat","Alabama-Birmingham","38","","Non-Major","7",""
"32","31","2","Sep 2, 2017","","Sat","Arizona","62","","Non-Major","24",""
"33","32","2","Sep 2, 2017","","Sat","Auburn","41","","Georgia Southern","7",""
"34","33","2","Sep 2, 2017","","Sat","Boise State","24","","Troy","13",""
"35","34","2","Sep 2, 2017","","Sat","California","35","@","North Carolina","30",""
"36","35","2","Sep 2, 2017","12:00 PM","Sat","Central Florida","61","","Florida International","17",""
"37","36","2","Sep 2, 2017","","Sat","Clemson","56","","Kent State","3",""
"38","37","2","Sep 2, 2017","","Sat","Coastal Carolina","38","","Massachusetts","28",""
"39","38","2","Sep 2, 2017","","Sat","Duke","60","","Non-Major","7",""
"40","39","2","Sep 2, 2017","","Sat","Fresno State","66","","Non-Major","0",""
"41","40","2","Sep 2, 2017","","Sat","Georgia","31","","Appalachian State","10",""
"42","41","2","Sep 2, 2017","","Sat","Hawaii","41","","Non-Major","18",""
"43","42","2","Sep 2, 2017","","Sat","Non-Major","43","@","Nevada-Las Vegas","40",""
"44","43","2","Sep 2, 2017","","Sat","Illinois","24","","Ball State","21",""
"45","44","2","Sep 2, 2017","","Sat","Iowa","24","","Wyoming","3",""
"46","45","2","Sep 2, 2017","","Sat","Iowa State","42","","Non-Major","24",""
"47","46","2","Sep 2, 2017","","Sat","Non-Major","34","@","East Carolina","14",""
"48","47","2","Sep 2, 2017","","Sat","Kansas","38","","Non-Major","16",""
"49","48","2","Sep 2, 2017","","Sat","Kansas State","55","","Non-Major","19",""
"50","49","2","Sep 2, 2017","","Sat","Kentucky","24","@","Southern Mississippi","17",""
"51","50","2","Sep 2, 2017","","Sat","Non-Major","48","@","Baylor","45",""
"52","51","2","Sep 2, 2017","","Sat","Louisiana","51","","Non-Major","48",""
"53","52","2","Sep 2, 2017","","Sat","Louisiana State","27","","Brigham Young","0",""
"54","53","2","Sep 2, 2017","","Sat","Louisiana Tech","52","","Non-Major","24",""
"55","54","2","Sep 2, 2017","","Sat","Louisville","35","","Purdue","28",""
"56","55","2","Sep 2, 2017","","Sat","Marshall","31","","Miami (OH)","26",""
"57","56","2","Sep 2, 2017","","Sat","Maryland","51","@","Texas","41",""
"58","57","2","Sep 2, 2017","","Sat","Miami (FL)","41","","Non-Major","13",""
"59","58","2","Sep 2, 2017","","Sat","Michigan","33","","Florida","17",""
"60","59","2","Sep 2, 2017","","Sat","Michigan State","35","","Bowling Green State","10",""
"61","60","2","Sep 2, 2017","","Sat","Mississippi","47","","South Alabama","27",""
"62","61","2","Sep 2, 2017","","Sat","Mississippi State","49","","Non-Major","0",""
"63","62","2","Sep 2, 2017","","Sat","Missouri","72","","Non-Major","43",""
"64","63","2","Sep 2, 2017","","Sat","Nebraska","43","","Arkansas State","36",""
"65","64","2","Sep 2, 2017","","Sat","New Mexico","38","","Non-Major","14",""
"66","65","2","Sep 2, 2017","","Sat","North Texas","59","","Non-Major","14",""
"67","66","2","Sep 2, 2017","","Sat","Northwestern","31","","Nevada","20",""
"68","67","2","Sep 2, 2017","","Sat","Notre Dame","49","","Temple","16",""
"69","68","2","Sep 2, 2017","","Sat","Ohio","59","","Non-Major","0",""
"70","69","2","Sep 2, 2017","","Sat","Oklahoma","56","","Texas-El Paso","7",""
"71","70","2","Sep 2, 2017","","Sat","Old Dominion","31","","Non-Major","17",""
"72","71","2","Sep 2, 2017","","Sat","Oregon","77","","Non-Major","21",""
"73","72","2","Sep 2, 2017","","Sat","Oregon State","35","","Non-Major","32",""
"74","73","2","Sep 2, 2017","","Sat","Penn State","52","","Akron","0",""
"75","74","2","Sep 2, 2017","","Sat","Pittsburgh","28","","Non-Major","21",""
"76","75","2","Sep 2, 2017","","Sat","San Diego State","38","","Non-Major","17",""
"77","76","2","Sep 2, 2017","","Sat","San Jose State","34","","Non-Major","13",""
"78","77","2","Sep 2, 2017","","Sat","South Carolina","35","","North Carolina State","28",""
"79","78","2","Sep 2, 2017","","Sat","South Florida","31","","Non-Major","17",""
"80","79","2","Sep 2, 2017","","Sat","Southern California","49","","Western Michigan","31",""
"81","80","2","Sep 2, 2017","","Sat","Southern Methodist","58","","Non-Major","14",""
"82","81","2","Sep 2, 2017","","Sat","Texas Christian","63","","Non-Major","0",""
"83","82","2","Sep 2, 2017","","Sat","Texas State","20","","Non-Major","11",""
"84","83","2","Sep 2, 2017","","Sat","Texas Tech","56","","Non-Major","10",""
"85","84","2","Sep 2, 2017","","Sat","Tulane","43","","Non-Major","14",""
"86","85","2","Sep 2, 2017","","Sat","Vanderbilt","28","@","Middle Tennessee State","6",""
"87","86","2","Sep 2, 2017","","Sat","Virginia","28","","Non-Major","10",""
"88","87","2","Sep 2, 2017","","Sat","Washington State","31","","Non-Major","0",""
"89","88","2","Sep 2, 2017","","Sat","Western Kentucky","31","","Non-Major","17",""
"90","89","2","Sep 3, 2017","","Sun","UCLA","45","","Texas A&M","44",""
"91","90","2","Sep 3, 2017","","Sun","Virginia Tech","31","","West Virginia","24",""
"92","91","2","Sep 4, 2017","","Mon","Tennessee","42","","Georgia Tech","41",""
"94","92","3","Sep 7, 2017","","Thu","Utah State","51","","Non-Major","13",""
"95","93","3","Sep 8, 2017","","Fri","Florida International","17","","Non-Major","10",""
"96","94","3","Sep 8, 2017","","Fri","Oklahoma State","44","@","South Alabama","7",""
"97","95","3","Sep 8, 2017","","Fri","Purdue","44","","Ohio","21",""
"98","96","3","Sep 9, 2017","","Sat","Akron","52","","Non-Major","3",""
"99","97","3","Sep 9, 2017","","Sat","Alabama","41","","Fresno State","10",""
"100","98","3","Sep 9, 2017","","Sat","Appalachian State","54","","Non-Major","7",""
"101","99","3","Sep 9, 2017","","Sat","Army","21","","Buffalo","17",""
"102","100","3","Sep 9, 2017","","Sat","Ball State","51","","Alabama-Birmingham","31",""
"103","101","3","Sep 9, 2017","","Sat","California","33","","Non-Major","20",""
"104","102","3","Sep 9, 2017","","Sat","Central Michigan","45","@","Kansas","27",""
"105","103","3","Sep 9, 2017","","Sat","Clemson","14","","Auburn","6",""
"106","104","3","Sep 9, 2017","","Sat","Colorado","37","","Texas State","3",""
"107","105","3","Sep 9, 2017","","Sat","Colorado State","38","","Non-Major","10",""
"108","106","3","Sep 9, 2017","","Sat","Duke","41","","Northwestern","17",""
"109","107","3","Sep 9, 2017","","Sat","Eastern Michigan","16","@","Rutgers","13",""
"110","108","3","Sep 9, 2017","","Sat","Georgia","20","@","Notre Dame","19",""
"111","109","3","Sep 9, 2017","","Sat","Georgia Tech","37","","Non-Major","10",""
"112","110","3","Sep 9, 2017","","Sat","Houston","19","@","Arizona","16",""
"113","111","3","Sep 9, 2017","","Sat","Illinois","20","","Western Kentucky","7",""
"114","112","3","Sep 9, 2017","","Sat","Indiana","34","@","Virginia","17",""
"115","113","3","Sep 9, 2017","","Sat","Iowa","44","@","Iowa State","41",""
"116","114","3","Sep 9, 2017","","Sat","Kansas State","55","","Non-Major","7",""
"117","115","3","Sep 9, 2017","","Sat","Kent State","38","","Non-Major","31",""
"118","116","3","Sep 9, 2017","","Sat","Kentucky","27","","Non-Major","16",""
"119","117","3","Sep 9, 2017","","Sat","Louisiana State","45","","Non-Major","10",""
"120","118","3","Sep 9, 2017","","Sat","Louisville","47","@","North Carolina","35",""
"121","119","3","Sep 9, 2017","","Sat","Maryland","63","","Non-Major","17",""
"122","120","3","Sep 9, 2017","","Sat","Miami (OH)","31","","Non-Major","10",""
"123","121","3","Sep 9, 2017","","Sat","Michigan","36","","Cincinnati","14",""
"124","122","3","Sep 9, 2017","","Sat","Michigan State","28","","Western Michigan","14",""
"125","123","3","Sep 9, 2017","","Sat","Middle Tennessee State","30","@","Syracuse","23",""
"126","124","3","Sep 9, 2017","","Sat","Minnesota","48","@","Oregon State","14",""
"127","125","3","Sep 9, 2017","","Sat","Mississippi","45","","Non-Major","23",""
"128","126","3","Sep 9, 2017","","Sat","Mississippi State","57","@","Louisiana Tech","21",""
"129","127","3","Sep 9, 2017","","Sat","Navy","23","","Tulane","21",""
"130","128","3","Sep 9, 2017","","Sat","Nevada-Las Vegas","44","@","Idaho","16",""
"131","129","3","Sep 9, 2017","","Sat","Non-Major","22","","Georgia Southern","12",""
"132","130","3","Sep 9, 2017","","Sat","New Mexico State","30","@","New Mexico","28",""
"133","131","3","Sep 9, 2017","","Sat","North Carolina State","37","","Marshall","20",""
"134","132","3","Sep 9, 2017","","Sat","Northern Illinois","38","","Non-Major","10",""
"135","133","3","Sep 9, 2017","","Sat","Oklahoma","31","@","Ohio State","16",""
"136","134","3","Sep 9, 2017","","Sat","Old Dominion","17","@","Massachusetts","7",""
"137","135","3","Sep 9, 2017","","Sat","Oregon","42","","Nebraska","35",""
"138","136","3","Sep 9, 2017","","Sat","Penn State","33","","Pittsburgh","14",""
"139","137","3","Sep 9, 2017","","Sat","Rice","31","@","Texas-El Paso","14",""
"140","138","3","Sep 9, 2017","","Sat","San Diego State","30","@","Arizona State","20",""
"141","139","3","Sep 9, 2017","","Sat","South Carolina","31","@","Missouri","13",""
"142","140","3","Sep 9, 2017","","Sat","Non-Major","35","@","Bowling Green State","27",""
"143","141","3","Sep 9, 2017","","Sat","Southern California","42","","Stanford","24",""
"144","142","3","Sep 9, 2017","","Sat","Southern Methodist","54","","North Texas","32",""
"145","143","3","Sep 9, 2017","","Sat","Southern Mississippi","45","","Non-Major","0",""
"146","144","3","Sep 9, 2017","","Sat","Temple","16","","Non-Major","13",""
"147","145","3","Sep 9, 2017","","Sat","Tennessee","42","","Non-Major","7",""
"148","146","3","Sep 9, 2017","","Sat","Texas","56","","San Jose State","0",""
"149","147","3","Sep 9, 2017","","Sat","Texas A&M","24","","Non-Major","14",""
"150","148","3","Sep 9, 2017","","Sat","Texas Christian","28","@","Arkansas","7",""
"151","149","3","Sep 9, 2017","","Sat","Texas-San Antonio","17","@","Baylor","10",""
"152","150","3","Sep 9, 2017","","Sat","Toledo","37","@","Nevada","24",""
"153","151","3","Sep 9, 2017","","Sat","Troy","34","","Non-Major","7",""
"154","152","3","Sep 9, 2017","","Sat","Tulsa","66","","Louisiana","42",""
"155","153","3","Sep 9, 2017","","Sat","UCLA","56","","Hawaii","23",""
"156","154","3","Sep 9, 2017","","Sat","Utah","19","@","Brigham Young","13",""
"157","155","3","Sep 9, 2017","","Sat","Vanderbilt","42","","Non-Major","0",""
"158","156","3","Sep 9, 2017","","Sat","Virginia Tech","27","","Non-Major","0",""
"159","157","3","Sep 9, 2017","","Sat","Wake Forest","34","@","Boston College","10",""
"160","158","3","Sep 9, 2017","","Sat","Washington","63","","Non-Major","7",""
