"","Team","X","Opponent","Result","Date"
"1","Air Force","","Virginia Military Institute","W (62-0)",2017-09-02
"2","Air Force","@","Michigan","L (13-29)",2017-09-16
"3","Air Force","","San Diego State","L (24-28)",2017-09-23
"4","Air Force","@","New Mexico","L (38-56)",2017-09-30
"5","Air Force","@","Navy","L (45-48)",2017-10-07
"6","Air Force","","Nevada-Las Vegas","W (34-30)",2017-10-14
"7","Air Force","@","Nevada","W (45-42)",2017-10-20
"8","Air Force","@","Colorado State","W (45-28)",2017-10-28
"9","Air Force","","Army","L (0-21)",2017-11-04
"10","Air Force","","Wyoming","L (14-28)",2017-11-11
"11","Air Force","@","Boise State","L (19-44)",2017-11-18
"12","Air Force","","Utah State","W (38-35)",2017-11-25
"13","Akron","@","Penn State","L (0-52)",2017-09-02
"14","Akron","","Arkansas-Pine Bluff","W (52-3)",2017-09-09
"15","Akron","","Iowa State","L (14-41)",2017-09-16
"16","Akron","@","Troy","L (17-22)",2017-09-23
"17","Akron","@","Bowling Green State","W (34-23)",2017-09-30
"18","Akron","","Ball State","W (31-3)",2017-10-07
"19","Akron","@","Western Michigan","W (14-13)",2017-10-15
"20","Akron","@","Toledo","L (21-48)",2017-10-21
"21","Akron","","Buffalo","W (21-20)",2017-10-28
"22","Akron","@","Miami (OH)","L (14-24)",2017-11-07
"23","Akron","","Ohio","W (37-34)",2017-11-14
"24","Akron","","Kent State","W (24-14)",2017-11-21
"25","Akron","N","Toledo","L (28-45)",2017-12-02
"26","Akron","@","Florida Atlantic","L (3-50)",2017-12-19
"27","Alabama-Birmingham","","Alabama A&M","W (38-7)",2017-09-02
"28","Alabama-Birmingham","@","Ball State","L (31-51)",2017-09-09
"29","Alabama-Birmingham","","Coastal Carolina","W (30-23)",2017-09-16
"30","Alabama-Birmingham","@","North Texas","L (43-46)",2017-09-23
"31","Alabama-Birmingham","","Louisiana Tech","W (23-22)",2017-10-07
"32","Alabama-Birmingham","","Middle Tennessee State","W (25-23)",2017-10-14
"33","Alabama-Birmingham","@","Charlotte","L (24-25)",2017-10-21
"34","Alabama-Birmingham","@","Southern Mississippi","W (30-12)",2017-10-28
"35","Alabama-Birmingham","","Rice","W (52-21)",2017-11-04
"36","Alabama-Birmingham","@","Texas-San Antonio","W (24-19)",2017-11-11
"37","Alabama-Birmingham","@","Florida","L (7-36)",2017-11-18
"38","Alabama-Birmingham","","Texas-El Paso","W (28-7)",2017-11-25
"39","Alabama-Birmingham","N","Ohio","L (6-41)",2017-12-22
"40","Alabama","N","Florida State","W (24-7)",2017-09-02
"41","Alabama","","Fresno State","W (41-10)",2017-09-09
"42","Alabama","","Colorado State","W (41-23)",2017-09-16
"43","Alabama","@","Vanderbilt","W (59-0)",2017-09-23
"44","Alabama","","Mississippi","W (66-3)",2017-09-30
"45","Alabama","@","Texas A&M","W (27-19)",2017-10-07
"46","Alabama","","Arkansas","W (41-9)",2017-10-14
"47","Alabama","","Tennessee","W (45-7)",2017-10-21
"48","Alabama","","Louisiana State","W (24-10)",2017-11-04
"49","Alabama","@","Mississippi State","W (31-24)",2017-11-11
"50","Alabama","","Mercer","W (56-0)",2017-11-18
"51","Alabama","@","Auburn","L (14-26)",2017-11-25
"52","Alabama","N","Clemson","W (24-6)",2018-01-01
"53","Alabama","N","Georgia","W (26-23)",2018-01-08
"54","Appalachian State","@","Georgia","L (10-31)",2017-09-02
"55","Appalachian State","","Savannah State","W (54-7)",2017-09-09
"56","Appalachian State","@","Texas State","W (20-13)",2017-09-16
"57","Appalachian State","","Wake Forest","L (19-20)",2017-09-23
"58","Appalachian State","","New Mexico State","W (45-31)",2017-10-07
"59","Appalachian State","@","Idaho","W (23-20)",2017-10-14
"60","Appalachian State","","Coastal Carolina","W (37-29)",2017-10-21
"61","Appalachian State","@","Massachusetts","L (27-30)",2017-10-28
"62","Appalachian State","@","Louisiana-Monroe","L (45-52)",2017-11-04
"63","Appalachian State","","Georgia Southern","W (27-6)",2017-11-09
"64","Appalachian State","@","Georgia State","W (31-10)",2017-11-25
"65","Appalachian State","","Louisiana","W (63-14)",2017-12-02
"66","Appalachian State","N","Toledo","W (34-0)",2017-12-23
"67","Arizona State","","New Mexico State","W (37-31)",2017-08-31
"68","Arizona State","","San Diego State","L (20-30)",2017-09-09
"69","Arizona State","@","Texas Tech","L (45-52)",2017-09-16
"70","Arizona State","","Oregon","W (37-35)",2017-09-23
"71","Arizona State","@","Stanford","L (24-34)",2017-09-30
"72","Arizona State","","Washington","W (13-7)",2017-10-14
"73","Arizona State","@","Utah","W (30-10)",2017-10-21
"74","Arizona State","","Southern California","L (17-48)",2017-10-28
"75","Arizona State","","Colorado","W (41-30)",2017-11-04
"76","Arizona State","@","UCLA","L (37-44)",2017-11-11
"77","Arizona State","@","Oregon State","W (40-24)",2017-11-18
"78","Arizona State","","Arizona","W (42-30)",2017-11-25
"79","Arizona State","N","North Carolina State","L (31-52)",2017-12-29
"80","Arizona","","Northern Arizona","W (62-24)",2017-09-02
"81","Arizona","","Houston","L (16-19)",2017-09-09
"82","Arizona","@","Texas-El Paso","W (63-16)",2017-09-15
"83","Arizona","","Utah","L (24-30)",2017-09-22
"84","Arizona","@","Colorado","W (45-42)",2017-10-07
"85","Arizona","","UCLA","W (47-30)",2017-10-14
"86","Arizona","@","California","W (45-44)",2017-10-21
"87","Arizona","","Washington State","W (58-37)",2017-10-28
"88","Arizona","@","Southern California","L (35-49)",2017-11-04
"89","Arizona","","Oregon State","W (49-28)",2017-11-11
"90","Arizona","@","Oregon","L (28-48)",2017-11-18
"92","Arizona","N","Purdue","L (35-38)",2017-12-27
"110","Arkansas State","@","Nebraska","L (36-43)",2017-09-02
"210","Arkansas State","","Arkansas-Pine Bluff","W (48-3)",2017-09-16
"310","Arkansas State","@","Southern Methodist","L (21-44)",2017-09-23
"410","Arkansas State","@","Georgia Southern","W (43-25)",2017-10-04
"510","Arkansas State","","Coastal Carolina","W (51-17)",2017-10-14
"610","Arkansas State","","Louisiana","W (47-3)",2017-10-19
"710","Arkansas State","@","New Mexico State","W (37-21)",2017-10-28
"810","Arkansas State","@","South Alabama","L (19-24)",2017-11-11
"91","Arkansas State","","Texas State","W (30-12)",2017-11-18
"101","Arkansas State","@","Louisiana-Monroe","W (67-50)",2017-11-25
"111","Arkansas State","","Troy","L (25-32)",2017-12-02
"121","Arkansas State","N","Middle Tennessee State","L (30-35)",2017-12-16
"112","Arkansas","N","Florida A&M","W (49-7)",2017-08-31
"211","Arkansas","","Texas Christian","L (7-28)",2017-09-09
"311","Arkansas","N","Texas A&M","L (43-50)",2017-09-23
"411","Arkansas","","New Mexico State","W (42-24)",2017-09-30
"511","Arkansas","@","South Carolina","L (22-48)",2017-10-07
"711","Arkansas","","Auburn","L (20-52)",2017-10-21
"811","Arkansas","@","Mississippi","W (38-37)",2017-10-28
"93","Arkansas","","Coastal Carolina","W (39-38)",2017-11-04
"102","Arkansas","@","Louisiana State","L (10-33)",2017-11-11
"113","Arkansas","","Mississippi State","L (21-28)",2017-11-18
"122","Arkansas","","Missouri","L (45-48)",2017-11-24
"114","Army","","Fordham","W (64-6)",2017-09-01
"212","Army","","Buffalo","W (21-17)",2017-09-09
"312","Army","@","Ohio State","L (7-38)",2017-09-16
"412","Army","@","Tulane","L (17-21)",2017-09-23
"512","Army","","Texas-El Paso","W (35-21)",2017-09-30
"611","Army","@","Rice","W (49-12)",2017-10-07
"712","Army","","Eastern Michigan","W (28-27)",2017-10-14
"812","Army","","Temple","W (31-28)",2017-10-21
"103","Army","","Duke","W (21-16)",2017-11-11
"115","Army","@","North Texas","L (49-52)",2017-11-18
"123","Army","N","Navy","W (14-13)",2017-12-09
"131","Army","N","San Diego State","W (42-35)",2017-12-23
"116","Auburn","","Georgia Southern","W (41-7)",2017-09-02
"213","Auburn","@","Clemson","L (6-14)",2017-09-09
"313","Auburn","","Mercer","W (24-10)",2017-09-16
"413","Auburn","@","Missouri","W (51-14)",2017-09-23
"513","Auburn","","Mississippi State","W (49-10)",2017-09-30
"612","Auburn","","Mississippi","W (44-23)",2017-10-07
"713","Auburn","@","Louisiana State","L (23-27)",2017-10-14
"94","Auburn","@","Texas A&M","W (42-27)",2017-11-04
"104","Auburn","","Georgia","W (40-17)",2017-11-11
"117","Auburn","","Louisiana-Monroe","W (42-14)",2017-11-18
"132","Auburn","N","Georgia","L (7-28)",2017-12-02
"141","Auburn","N","Central Florida","L (27-34)",2018-01-01
"118","Ball State","@","Illinois","L (21-24)",2017-09-02
"314","Ball State","","Tennessee Tech","W (28-13)",2017-09-16
"414","Ball State","@","Western Kentucky","L (21-33)",2017-09-23
"514","Ball State","@","Western Michigan","L (3-55)",2017-09-30
"714","Ball State","","Central Michigan","L (9-56)",2017-10-21
"813","Ball State","","Toledo","L (17-58)",2017-10-26
"95","Ball State","@","Eastern Michigan","L (14-56)",2017-11-02
"105","Ball State","@","Northern Illinois","L (17-63)",2017-11-09
"119","Ball State","","Buffalo","L (24-40)",2017-11-16
"124","Ball State","","Miami (OH)","L (7-28)",2017-11-21
"120","Baylor","","Liberty","L (45-48)",2017-09-02
"214","Baylor","","Texas-San Antonio","L (10-17)",2017-09-09
"315","Baylor","@","Duke","L (20-34)",2017-09-16
"415","Baylor","","Oklahoma","L (41-49)",2017-09-23
"515","Baylor","@","Kansas State","L (20-33)",2017-09-30
"613","Baylor","@","Oklahoma State","L (16-59)",2017-10-14
"715","Baylor","","West Virginia","L (36-38)",2017-10-21
"814","Baylor","","Texas","L (7-38)",2017-10-28
"96","Baylor","@","Kansas","W (38-9)",2017-11-04
"106","Baylor","N","Texas Tech","L (24-38)",2017-11-11
