"","Rk","Wk","Date","Time","Day","Winner","Pts","","Loser","Pts.1","TV"
"73","72","2","Sep 3, 2016","","Sat","Texas Christian","59","","Non-Major","41",""
"74","73","2","Sep 3, 2016","","Sat","Texas State","56","@","Ohio","54","CBSSN"
"75","74","2","Sep 3, 2016","","Sat","Texas Tech","69","","Non-Major","17",""
"76","75","2","Sep 3, 2016","","Sat","Texas-El Paso","38","","New Mexico State","22",""
"77","76","2","Sep 3, 2016","","Sat","Texas-San Antonio","26","","Non-Major","13",""
"78","77","2","Sep 3, 2016","","Sat","Troy","57","","Non-Major","17","ESPN3"
"79","78","2","Sep 3, 2016","","Sat","Tulsa","45","","San Jose State","10","CBSSN"
"80","79","2","Sep 3, 2016","","Sat","Virginia Tech","36","","Non-Major","13","ESPN3"
"81","80","2","Sep 3, 2016","","Sat","Washington","48","","Rutgers","13","PAC12"
"82","81","2","Sep 3, 2016","","Sat","West Virginia","26","","Missouri","11","FS1"
"83","82","2","Sep 3, 2016","","Sat","Western Michigan","22","@","Northwestern","21","ESPNU"
"84","83","2","Sep 3, 2016","","Sat","Wisconsin","16","","Louisiana State","14","ABC"
"85","84","2","Sep 3, 2016","","Sat","Wyoming","40","","Northern Illinois","34","CBSSN"
"86","85","2","Sep 4, 2016","","Sun","Old Dominion","54","","Non-Major","21",""
"87","86","2","Sep 4, 2016","","Sun","Texas","50","","Notre Dame","47","ABC"
"88","87","2","Sep 5, 2016","","Mon","Florida State","45","","Mississippi","34","ESPN"
"90","88","3","Sep 9, 2016","","Fri","Louisville","62","@","Syracuse","28","ESPN2"
"91","89","3","Sep 9, 2016","","Fri","Maryland","41","@","Florida International","14",""
"92","90","3","Sep 10, 2016","","Sat","Air Force","48","","Georgia State","14","CAMP"
"93","91","3","Sep 10, 2016","","Sat","Alabama","38","","Western Kentucky","10","ESPN2"
"94","92","3","Sep 10, 2016","","Sat","Appalachian State","31","","Old Dominion","7","ESPN3"
"95","93","3","Sep 10, 2016","","Sat","Arizona","31","","Non-Major","21","PAC12"
"96","94","3","Sep 10, 2016","","Sat","Arizona State","68","","Texas Tech","55","FS1"
"97","95","3","Sep 10, 2016","","Sat","Arkansas","41","@","Texas Christian","38","ESPN"
"98","96","3","Sep 10, 2016","","Sat","Army","31","","Rice","14","CBSSN"
"99","97","3","Sep 10, 2016","","Sat","Auburn","51","","Arkansas State","14","SECN"
"100","98","3","Sep 10, 2016","","Sat","Baylor","40","","Southern Methodist","13","FS1"
"101","99","3","Sep 10, 2016","","Sat","Boise State","31","","Washington State","28","ESPN2"
"102","100","3","Sep 10, 2016","","Sat","Boston College","26","@","Massachusetts","7","ESPN3"
"103","101","3","Sep 10, 2016","","Sat","Bowling Green State","27","","Non-Major","26","ESPN3"
"104","102","3","Sep 10, 2016","","Sat","Central Michigan","30","@","Oklahoma State","27","FS1"
"105","103","3","Sep 10, 2016","","Sat","Non-Major","47","","Non-Major","14",""
"106","104","3","Sep 10, 2016","","Sat","Cincinnati","38","@","Purdue","20","BTN"
"107","105","3","Sep 10, 2016","","Sat","Clemson","30","","Troy","24","ESPN3"
"108","106","3","Sep 10, 2016","","Sat","Colorado","56","","Non-Major","7",""
"109","107","3","Sep 10, 2016","","Sat","Colorado State","23","","Texas-San Antonio","14","CAMP"
"110","108","3","Sep 10, 2016","","Sat","East Carolina","33","","North Carolina State","30","ESPNU"
"111","109","3","Sep 10, 2016","","Sat","Non-Major","21","@","Miami (OH)","17","ESPN3"
"112","110","3","Sep 10, 2016","","Sat","Florida","45","","Kentucky","7","CBS"
"113","111","3","Sep 10, 2016","","Sat","Florida State","52","","Non-Major","8","ESPN3"
"114","112","3","Sep 10, 2016","","Sat","Fresno State","31","","Non-Major","3",""
"115","113","3","Sep 10, 2016","","Sat","Georgia","26","","Non-Major","24","SECN"
"116","114","3","Sep 10, 2016","","Sat","Georgia Southern","24","@","South Alabama","9","ESPN3"
"117","115","3","Sep 10, 2016","","Sat","Georgia Tech","35","","Non-Major","10",""
"118","116","3","Sep 10, 2016","","Sat","Hawaii","41","","Non-Major","36",""
"119","117","3","Sep 10, 2016","","Sat","Houston","42","","Non-Major","0","ESPN3"
"120","118","3","Sep 10, 2016","","Sat","Non-Major","9","@","Northwestern","7","BTN"
"121","119","3","Sep 10, 2016","","Sat","Indiana","30","","Ball State","20","ESPNN"
"122","120","3","Sep 10, 2016","","Sat","Iowa","42","","Iowa State","3","BTN"
"123","121","3","Sep 10, 2016","","Sat","Louisiana","30","","Non-Major","22","ESPN3"
"124","122","3","Sep 10, 2016","","Sat","Louisiana State","34","","Non-Major","13","ESPNU"
"125","123","3","Sep 10, 2016","","Sat","Louisiana Tech","53","","Non-Major","24",""
"126","124","3","Sep 10, 2016","","Sat","Marshall","62","","Non-Major","0",""
"127","125","3","Sep 10, 2016","","Sat","Miami (FL)","38","","Florida Atlantic","10",""
"128","126","3","Sep 10, 2016","","Sat","Michigan","51","","Central Florida","14","ABC"
"129","127","3","Sep 10, 2016","","Sat","Minnesota","58","","Non-Major","28","ESPNN"
"130","128","3","Sep 10, 2016","","Sat","Mississippi","38","","Non-Major","13","SECN"
"131","129","3","Sep 10, 2016","","Sat","Mississippi State","27","","South Carolina","14","ESPN"
"132","130","3","Sep 10, 2016","","Sat","Missouri","61","","Eastern Michigan","21","SECN"
"133","131","3","Sep 10, 2016","","Sat","Navy","28","","Connecticut","24","CBSSN"
"134","132","3","Sep 10, 2016","","Sat","Nebraska","52","","Wyoming","17","ESPN2"
"135","133","3","Sep 10, 2016","","Sat","New Mexico State","32","","New Mexico","31","ESPN3"
"136","134","3","Sep 10, 2016","","Sat","North Carolina","48","@","Illinois","23","BTN"
"137","135","3","Sep 10, 2016","","Sat","Non-Major","39","@","Kent State","36","ESPN3"
"138","136","3","Sep 10, 2016","","Sat","North Texas","41","","Non-Major","20",""
"139","137","3","Sep 10, 2016","","Sat","Notre Dame","39","","Nevada","10","NBC"
"140","138","3","Sep 10, 2016","","Sat","Ohio","37","@","Kansas","21","FSN"
"141","139","3","Sep 10, 2016","","Sat","Ohio State","48","","Tulsa","3","ABC"
"142","140","3","Sep 10, 2016","","Sat","Oklahoma","59","","Louisiana-Monroe","17",""
"143","141","3","Sep 10, 2016","","Sat","Oregon","44","","Virginia","26","ESPN"
"144","142","3","Sep 10, 2016","","Sat","Pittsburgh","42","","Penn State","39","ABC"
"145","143","3","Sep 10, 2016","","Sat","Rutgers","52","","Non-Major","14","BTN"
"146","144","3","Sep 10, 2016","","Sat","San Diego State","45","","California","40","CBSSN"
"147","145","3","Sep 10, 2016","","Sat","San Jose State","66","","Non-Major","35",""
"148","146","3","Sep 10, 2016","","Sat","South Florida","48","","Northern Illinois","17","CBSSN"
"149","147","3","Sep 10, 2016","","Sat","Southern California","45","","Utah State","7","PAC12"
"150","148","3","Sep 10, 2016","","Sat","Southern Mississippi","56","","Non-Major","0",""
"151","149","3","Sep 10, 2016","","Sat","Temple","38","","Non-Major","0","ESPN3"
"152","150","3","Sep 10, 2016","","Sat","Tennessee","45","","Virginia Tech","24","ABC"
"153","151","3","Sep 10, 2016","","Sat","Texas","41","","Texas-El Paso","7","LHN"
"154","152","3","Sep 10, 2016","","Sat","Texas A&M","67","","Non-Major","0","SECN"
"155","153","3","Sep 10, 2016","","Sat","Toledo","45","","Non-Major","3","ESPN3"
"156","154","3","Sep 10, 2016","","Sat","Tulane","66","","Non-Major","21","ESPN3"
"157","155","3","Sep 10, 2016","","Sat","UCLA","42","","Nevada-Las Vegas","21","PAC12"
"158","156","3","Sep 10, 2016","","Sat","Utah","20","","Brigham Young","19",""
"159","157","3","Sep 10, 2016","","Sat","Vanderbilt","47","","Middle Tennessee State","24","SECN"
"160","158","3","Sep 10, 2016","","Sat","Wake Forest","24","@","Duke","14","ESPNU"
"161","159","3","Sep 10, 2016","","Sat","Washington","59","","Idaho","14","PAC12"
"162","160","3","Sep 10, 2016","","Sat","West Virginia","38","","Non-Major","21",""
"163","161","3","Sep 10, 2016","","Sat","Western Michigan","70","","Non-Major","21","ESPN3"
"164","162","3","Sep 10, 2016","","Sat","Wisconsin","54","","Akron","10","BTN"
"166","163","4","Sep 15, 2016","","Thu","Houston","40","@","Cincinnati","16","ESPN"
"167","164","4","Sep 16, 2016","","Fri","Arizona State","32","@","Texas-San Antonio","28","ESPN2"
"168","165","4","Sep 16, 2016","","Fri","Baylor","38","@","Rice","10","ESPN"
"169","166","4","Sep 16, 2016","","Fri","Utah State","34","","Arkansas State","20","CBSSN"
"170","167","4","Sep 17, 2016","","Sat","Akron","65","@","Marshall","38","CBSSN"
"171","168","4","Sep 17, 2016","","Sat","Alabama","48","@","Mississippi","43","CBS"
