"Team","X","Opponent","Date","Game.ID","Off.Plays","Off.Tot.Yds","Off.Tot.Avg","Off.Pass","Off.Rush","Off.Pen","Off.Tot","Off.Fum","Off.Tot.TD","Off.Pass.Att","Off.Cmp","Off.Pct","Off.Pass.Yds","Off.Pass.Avg","Off.Pass.TD","Off.Int","Off.Rush.Att","Off.Rush.Yds","Off.Rush.Avg","Off.Rush.TD","Off.X.2PM","Off.X.2PM.Pass","Off.X.2PM.Rush","Off.Points","Off.FGA","Off.FGM","Off.XPA","Off.XPM","Off.X3rdDown..Attempts","Off.X3rdDown..Conversions","Off.X3rdDown..Conversion..","Off.X4thDown..Attempts","Off.X4thDown..Conversions","Off.X4thDown..Conversion..","Off.RedZone..Attempts","Off.RedZone..Scores","Off.RedZone..Score..","Off.RedZone..TD","Off.RedZone..TD..","Off.RedZone..FG","Off.RedZone..FG..","Off.FGF","Off.FG.","Off.XPF","Off.XP.","Off.Incmp","Off.X3rdDown..Failed","Off.Tot.TO","Off.Points.Team","Off.Pass.Pts","Off.Rush.Pts","Off.Kicking.Pts","Off.ST.KickRet.Ret","Off.ST.KickRet.Yds","Off.ST.KickRet.Avg","Off.ST.KickRet.TD","Off.ST.PuntRet.Ret","Off.ST.PuntRet.Yds","Off.ST.PuntRet.Avg","Off.ST.PuntRet.TD","Off.ST.Punting.Punts","Off.ST.Punting.Yds","Off.ST.Punting.Avg","Off.ST.Kickoff.No","Off.ST.Kickoff.Yds","Off.ST.Kickoff.Avg","Off.ST.Kickoff.Touchbacks","Off.ST.Kickoff.Touchbacks..","Off.ST.Kickoff.OutOfBounds","Off.ST.Kickoff.Onside","Off.ST.Tot.TO","Off.ST.Return.TD","Off.ST.Return.Points","Off.ST.Return.Yds","Off.ST.Return.Ret","Off.ST.Return.Avg","Def.FGR.TD","Def.Sfty","Def.QB.Hurries","Def.KicksPunts.Blocked","Def.Points.Team","Def.Tackles.Solo","Def.Tackles.Ast","Def.Tackles.Tot","Def.Tackles.Loss","Def.Tackles.Sk","Def.Int.Int","Def.Int.Yds","Def.Int.Avg","Def.Int.TD","Def.Int.PD","Def.Fumbles.FR","Def.Fumbles.Yds","Def.Fumbles.TD","Def.Fumbles.FF","Def.Tot.Yds","Def.Tot.TD","Def.Tot.Pts","Def.Tot.TO","Def.ST.KicksPunts.Blocked","Def.ST.Fumbles.TD","Def.ST.Receiving.TD","Def.ST.Receiving.Pts","Off_w_ST.Tot.TO","Off_w_ST.Fum","Off_w_ST.Int","Def_w_ST.Tot.Fumbles.TD","Off.X4thDown..Failed","Off_w_ST.Plays","Off_w_ST.Yds","Off_w_ST.Yds.Avg","Off_w_ST.Pts","Off_w_ST.TD","Def_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Yds","Off.Minus.Def.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off.Minus.Def.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off.Minus.Def.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.TD.TO.Diff","Off_w_ST.Tot.TO.NonScoring","Off.TD.FR.by.Off","No.Possessions","No.Empty.Possessions","No.Scoring.Possessions","No.Negative.Possessions","Homefield"
"Air Force","","Non-Major","2016-09-03",1,64,360,5.6,9,4,3,16,0,3,33,16,48.5,259,7.8,3,0,31,86,2.77,0,0,0,0,21,1,0,3,3,17,7,41.18,0,0,0,2,1,50,1,50,0,0,1,0,0,1,17,10,0,21,18,0,3,1,27,27,0,3,11,3.67,0,9,402,44.67,4,255,63.75,2,50,0,0,0,0,0,38,4,9.5,0,0,0,0,21,28,30,58,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,398,5.85294117647059,21,3,0,0,0,21,21,360,398,3,3,3,0,0,13,10,3,0,""
"Air Force","","Georgia State","2016-09-10",2,41,169,4.1,6,0,0,6,0,2,27,9,33.3,142,5.3,1,0,14,27,1.93,1,0,0,0,14,1,0,2,2,12,4,33.33,0,0,0,1,1,100,1,100,0,0,1,0,0,1,18,8,0,14,6,6,2,3,127,42.33,0,0,0,0,0,7,262,37.43,3,94,31.33,2,66.67,0,0,0,0,0,127,3,42.3333333333333,0,0,0,0,14,15,14,29,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,296,6.72727272727273,14,2,0,0,0,14,14,169,296,2,2,2,0,0,10,8,2,0,""
"Air Force","@","Utah State","2016-09-24",3,80,414,5.2,15,4,3,22,1,2,48,30,62.5,372,7.8,1,1,32,42,1.31,1,0,0,0,20,2,2,2,2,20,10,50,4,1,25,4,3,75,1,25,2,50,0,1,0,1,18,10,2,20,6,6,8,2,33,16.5,0,2,22,11,0,3,100,33.33,5,288,57.6,2,40,0,0,0,0,0,55,4,13.75,0,0,3,0,20,39,42,81,11,6,1,0,0,0,8,1,0,0,1,0,0,0,2,0,0,0,0,2,1,1,0,3,84,469,5.58333333333333,20,2,0,0,0,20,20,414,469,2,2,0,2,0,12,8,4,0,"@"
"Air Force","","Navy","2016-10-01",4,69,317,4.6,11,5,2,18,1,2,31,17,54.8,260,8.4,0,2,38,57,1.5,2,0,0,0,14,0,0,2,2,15,5,33.33,5,3,60,2,2,100,2,100,0,0,0,0,0,1,14,10,3,14,0,12,2,1,23,23,0,2,-2,-1,0,5,202,40.4,2,103,51.5,0,0,0,1,0,0,0,21,3,7,0,0,0,1,14,35,34,69,8,6,2,0,0,0,3,1,0,0,1,0,0,0,3,1,0,0,0,3,1,2,0,2,72,338,4.69444444444444,14,2,0,0,0,14,14,317,338,2,2,-1,3,0,12,10,2,0,""
"Air Force","@","Wyoming","2016-10-08",5,75,362,4.8,10,9,2,21,1,4,27,15,55.6,173,6.4,3,0,48,189,3.94,1,0,0,0,29,0,0,5,5,14,5,35.71,0,0,0,3,3,100,3,100,0,0,0,0,0,1,12,9,1,35,18,6,5,3,47,15.67,0,4,22,5.5,0,8,307,38.38,6,388,64.67,5,83.33,0,0,0,0,0,69,7,9.85714285714286,0,0,0,0,35,47,45,92,6,3,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,82,431,5.25609756097561,29,4,0,0,0,29,29,362,431,4,4,3,1,0,13,9,4,0,"@"
"Air Force","N","New Mexico","2016-10-15",6,63,443,7,3,14,1,18,0,6,8,3,37.5,70,8.8,2,0,55,373,6.78,4,0,0,0,45,1,1,6,6,15,9,60,0,0,0,4,4,100,4,100,0,0,0,1,0,1,5,6,0,45,12,24,9,4,160,40,0,1,4,4,0,5,185,37,8,516,64.5,7,87.5,0,0,0,0,0,164,5,32.8,0,0,1,0,45,44,20,64,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,607,8.92647058823529,45,6,0,0,0,45,45,443,607,6,6,6,0,0,12,5,7,0,"N"
"Air Force","","Hawaii","2016-10-22",7,63,387,6.1,16,3,0,19,0,4,37,21,56.8,312,8.4,3,2,26,75,2.88,1,0,0,0,34,2,2,4,4,13,6,46.15,0,0,0,5,4,80,2,40,2,40,0,1,0,1,16,7,2,34,18,6,10,1,39,39,0,0,0,0,0,5,224,44.8,5,323,64.6,4,80,0,0,0,0,0,39,1,39,0,0,0,0,34,25,28,53,4,2,2,34,34,0,6,0,0,0,0,34,0,0,2,0,0,0,0,2,0,2,0,0,64,426,6.65625,34,4,0,0,34,34,34,353,392,4,4,2,2,0,13,7,6,0,""
"Air Force","@","Fresno State","2016-10-28",8,68,349,5.1,10,4,4,18,0,3,38,19,50,312,8.2,3,4,30,37,1.23,0,0,0,0,21,0,0,3,3,14,7,50,3,1,33.33,2,1,50,1,50,0,0,0,0,0,1,19,7,4,21,18,0,3,6,113,18.83,0,2,1,0.5,0,3,112,37.33,4,240,60,0,0,0,0,0,0,0,114,8,14.25,0,0,1,0,21,36,32,68,8,2,4,65,50,1,8,0,0,0,0,65,1,6,4,0,0,0,0,4,0,4,0,2,76,463,6.09210526315789,21,3,1,6,65,15,15,284,398,2,2,-1,3,0,12,9,3,1,"@"
"Air Force","@","Army","2016-11-05",9,56,228,4.1,4,7,4,15,0,2,16,5,31.3,84,5.3,1,2,40,144,3.6,1,0,0,0,12,0,0,1,0,12,4,33.33,2,0,0,3,1,33.33,1,33.33,0,0,0,0,1,0,11,8,2,12,6,6,0,4,40,10,0,0,0,0,0,5,186,37.2,3,170,56.67,1,33.33,1,0,0,0,0,40,4,10,0,0,0,1,12,35,22,57,6,1,2,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,0,2,60,268,4.46666666666667,12,2,0,0,0,12,12,228,268,2,2,0,2,0,11,9,2,0,"@"
"Air Force","","Colorado State","2016-11-12",10,64,559,8.7,12,9,1,22,1,5,29,22,75.9,374,12.9,2,1,35,185,5.29,3,1,1,0,40,3,1,5,5,13,9,69.23,1,0,0,5,5,100,4,80,1,20,2,0.333333333333333,0,1,7,4,2,46,14,18,8,4,93,23.25,0,2,11,5.5,0,0,0,0,8,520,65,8,100,0,0,0,0,0,104,6,17.3333333333333,0,0,0,0,46,35,32,67,1,0,1,13,13,0,0,1,0,0,2,13,0,0,2,0,0,0,0,2,1,1,1,1,70,663,9.47142857142857,40,5,1,6,13,40,34,546,650,5,4,3,1,0,11,5,6,1,""
