"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (37-21)","2016-09-03"
"2","Air Force","","Georgia State","W (48-14)","2016-09-10"
"3","Air Force","@","Utah State","W (27-20)","2016-09-24"
"4","Air Force","","Navy","W (28-14)","2016-10-01"
"5","Air Force","@","Wyoming","L (26-35)","2016-10-08"
"6","Air Force","N","New Mexico","L (40-45)","2016-10-15"
"7","Air Force","","Hawaii","L (27-34)","2016-10-22"
"8","Air Force","@","Fresno State","W (31-21)","2016-10-28"
"9","Air Force","@","Army","W (31-12)","2016-11-05"
"10","Air Force","","Colorado State","W (49-46)","2016-11-12"
"11","Air Force","@","San Jose State","W (41-38)","2016-11-19"
"12","Air Force","","Boise State","W (27-20)","2016-11-25"
"13","Air Force","N","South Alabama","W (45-21)","2016-12-30"
"14","Akron","","Non-Major","W (47-24)","2016-09-03"
"15","Akron","@","Wisconsin","L (10-54)","2016-09-10"
"16","Akron","@","Marshall","W (65-38)","2016-09-17"
"17","Akron","","Appalachian State","L (38-45)","2016-09-24"
"18","Akron","@","Kent State","W (31-27)","2016-10-01"
"19","Akron","","Miami (OH)","W (35-13)","2016-10-08"
"20","Akron","","Western Michigan","L (0-41)","2016-10-15"
"21","Akron","@","Ball State","W (35-25)","2016-10-22"
"22","Akron","@","Buffalo","L (20-41)","2016-10-27"
"23","Akron","","Toledo","L (17-48)","2016-11-02"
"24","Akron","","Bowling Green State","L (28-38)","2016-11-09"
"25","Akron","@","Ohio","L (3-9)","2016-11-22"
"26","Alabama","N","Southern California","W (52-6)","2016-09-03"
"27","Alabama","","Western Kentucky","W (38-10)","2016-09-10"
"28","Alabama","@","Mississippi","W (48-43)","2016-09-17"
"29","Alabama","","Kent State","W (48-0)","2016-09-24"
"30","Alabama","","Kentucky","W (34-6)","2016-10-01"
"31","Alabama","@","Arkansas","W (49-30)","2016-10-08"
"32","Alabama","@","Tennessee","W (49-10)","2016-10-15"
"33","Alabama","","Texas A&M","W (33-14)","2016-10-22"
"34","Alabama","@","Louisiana State","W (10-0)","2016-11-05"
"35","Alabama","","Mississippi State","W (51-3)","2016-11-12"
"36","Alabama","","Non-Major","W (31-3)","2016-11-19"
"37","Alabama","","Auburn","W (30-12)","2016-11-26"
"38","Alabama","N","Florida","W (54-16)","2016-12-03"
"39","Alabama","N","Washington","W (24-7)","2016-12-31"
"40","Alabama","N","Clemson","L (31-35)","2017-01-09"
"41","Appalachian State","@","Tennessee","L (13-20)","2016-09-01"
"42","Appalachian State","","Old Dominion","W (31-7)","2016-09-10"
"43","Appalachian State","","Miami (FL)","L (10-45)","2016-09-17"
"44","Appalachian State","","Georgia State","W (17-3)","2016-10-01"
"45","Appalachian State","@","Louisiana","W (24-0)","2016-10-12"
"46","Appalachian State","","Idaho","W (37-19)","2016-10-22"
"47","Appalachian State","@","Georgia Southern","W (34-10)","2016-10-27"
"48","Appalachian State","","Texas State","W (35-10)","2016-11-05"
"49","Appalachian State","@","Troy","L (24-28)","2016-11-12"
"50","Appalachian State","","Louisiana-Monroe","W (42-17)","2016-11-19"
"51","Appalachian State","@","New Mexico State","W (37-7)","2016-11-26"
"52","Appalachian State","N","Toledo","W (31-28)","2016-12-17"
"53","Arizona State","","Non-Major","W (44-13)","2016-09-03"
"54","Arizona State","","Texas Tech","W (68-55)","2016-09-10"
"55","Arizona State","@","Texas-San Antonio","W (32-28)","2016-09-16"
"56","Arizona State","","California","W (51-41)","2016-09-24"
"57","Arizona State","@","Southern California","L (20-41)","2016-10-01"
"58","Arizona State","","UCLA","W (23-20)","2016-10-08"
"59","Arizona State","@","Colorado","L (16-40)","2016-10-15"
"60","Arizona State","","Washington State","L (32-37)","2016-10-22"
"61","Arizona State","@","Oregon","L (35-54)","2016-10-29"
"62","Arizona State","","Utah","L (26-49)","2016-11-10"
"63","Arizona State","@","Washington","L (18-44)","2016-11-19"
"64","Arizona State","@","Arizona","L (35-56)","2016-11-25"
"65","Arizona","N","Brigham Young","L (16-18)","2016-09-03"
"66","Arizona","","Non-Major","W (31-21)","2016-09-10"
"67","Arizona","","Hawaii","W (47-28)","2016-09-17"
"68","Arizona","","Washington","L (28-35)","2016-09-24"
"69","Arizona","@","UCLA","L (24-45)","2016-10-01"
"70","Arizona","@","Utah","L (23-36)","2016-10-08"
"71","Arizona","","Southern California","L (14-48)","2016-10-15"
"72","Arizona","","Stanford","L (10-34)","2016-10-29"
"73","Arizona","@","Washington State","L (7-69)","2016-11-05"
"74","Arizona","","Colorado","L (24-49)","2016-11-12"
"75","Arizona","@","Oregon State","L (17-42)","2016-11-19"
"76","Arkansas State","","Toledo","L (10-31)","2016-09-02"
"77","Arkansas State","@","Auburn","L (14-51)","2016-09-10"
"78","Arkansas State","@","Utah State","L (20-34)","2016-09-16"
"79","Arkansas State","","Non-Major","L (23-28)","2016-09-24"
"80","Arkansas State","","Georgia Southern","W (27-26)","2016-10-05"
"81","Arkansas State","","South Alabama","W (17-7)","2016-10-15"
"82","Arkansas State","","Louisiana-Monroe","W (51-10)","2016-10-29"
"83","Arkansas State","@","Georgia State","W (31-16)","2016-11-03"
"84","Arkansas State","","New Mexico State","W (41-22)","2016-11-12"
"85","Arkansas State","@","Troy","W (35-3)","2016-11-17"
"86","Arkansas State","@","Louisiana","L (19-24)","2016-11-26"
"87","Arkansas State","@","Texas State","W (36-14)","2016-12-03"
"88","Arkansas State","N","Central Florida","W (31-13)","2016-12-17"
"89","Arkansas","","Louisiana Tech","W (21-20)","2016-09-03"
"90","Arkansas","@","Texas Christian","W (41-38)","2016-09-10"
"91","Arkansas","","Texas State","W (42-3)","2016-09-17"
"92","Arkansas","N","Texas A&M","L (24-45)","2016-09-24"
"93","Arkansas","","Non-Major","W (52-10)","2016-10-01"
"94","Arkansas","","Mississippi","W (34-30)","2016-10-15"
"95","Arkansas","@","Auburn","L (3-56)","2016-10-22"
"96","Arkansas","","Florida","W (31-10)","2016-11-05"
"97","Arkansas","","Louisiana State","L (10-38)","2016-11-12"
"98","Arkansas","@","Mississippi State","W (58-42)","2016-11-19"
"99","Arkansas","@","Missouri","L (24-28)","2016-11-25"
"100","Arkansas","N","Virginia Tech","L (24-35)","2016-12-29"
"101","Army","@","Temple","W (28-13)","2016-09-02"
"102","Army","","Rice","W (31-14)","2016-09-10"
"103","Army","@","Texas-El Paso","W (66-14)","2016-09-17"
"104","Army","@","Buffalo","L (20-23)","2016-09-24"
"105","Army","@","Duke","L (6-13)","2016-10-08"
"106","Army","","Non-Major","W (62-7)","2016-10-15"
"107","Army","","North Texas","L (18-35)","2016-10-22"
"108","Army","@","Wake Forest","W (21-13)","2016-10-29"
"109","Army","N","Notre Dame","L (6-44)","2016-11-12"
"110","Army","","Non-Major","W (60-3)","2016-11-19"
"111","Army","N","Navy","W (21-17)","2016-12-10"
"112","Army","N","North Texas","W (38-31)","2016-12-27"
"113","Auburn","","Clemson","L (13-19)","2016-09-03"
"114","Auburn","","Texas A&M","L (16-29)","2016-09-17"
"115","Auburn","","Louisiana State","W (18-13)","2016-09-24"
"116","Auburn","","Louisiana-Monroe","W (58-7)","2016-10-01"
"117","Auburn","@","Mississippi State","W (38-14)","2016-10-08"
"118","Auburn","@","Mississippi","W (40-29)","2016-10-29"
"119","Auburn","","Vanderbilt","W (23-16)","2016-11-05"
"120","Auburn","@","Georgia","L (7-13)","2016-11-12"
"121","Auburn","","Non-Major","W (55-0)","2016-11-19"
"122","Auburn","N","Oklahoma","L (19-35)","2017-01-02"
"123","Ball State","@","Georgia State","W (31-21)","2016-09-02"
"124","Ball State","@","Indiana","L (20-30)","2016-09-10"
"125","Ball State","","Non-Major","W (41-14)","2016-09-17"
"126","Ball State","@","Florida Atlantic","W (31-27)","2016-09-24"
"127","Ball State","","Northern Illinois","L (24-31)","2016-10-01"
"128","Ball State","@","Central Michigan","L (21-24)","2016-10-08"
"129","Ball State","@","Buffalo","W (31-21)","2016-10-15"
"130","Ball State","","Western Michigan","L (20-52)","2016-11-01"
"131","Ball State","","Eastern Michigan","L (41-48)","2016-11-08"
"132","Ball State","@","Toledo","L (19-37)","2016-11-16"
"133","Ball State","@","Miami (OH)","L (20-21)","2016-11-22"
"134","Baylor","","Non-Major","W (55-7)","2016-09-02"
"135","Baylor","","Southern Methodist","W (40-13)","2016-09-10"
"136","Baylor","@","Rice","W (38-10)","2016-09-16"
"137","Baylor","","Oklahoma State","W (35-24)","2016-09-24"
"138","Baylor","@","Iowa State","W (45-42)","2016-10-01"
"139","Baylor","","Kansas","W (49-7)","2016-10-15"
"140","Baylor","@","Texas","L (34-35)","2016-10-29"
"141","Baylor","","Texas Christian","L (22-62)","2016-11-05"
"142","Baylor","@","Oklahoma","L (24-45)","2016-11-12"
"143","Baylor","","Kansas State","L (21-42)","2016-11-19"
"144","Baylor","N","Texas Tech","L (35-54)","2016-11-25"
"145","Baylor","@","West Virginia","L (21-24)","2016-12-03"
"146","Baylor","N","Boise State","W (31-12)","2016-12-27"
"147","Boise State","@","Louisiana","W (45-10)","2016-09-03"
"148","Boise State","","Washington State","W (31-28)","2016-09-10"
"149","Boise State","@","Oregon State","W (38-24)","2016-09-24"
"150","Boise State","","Utah State","W (21-10)","2016-10-01"
"151","Boise State","@","New Mexico","W (49-21)","2016-10-07"
"152","Boise State","","Colorado State","W (28-23)","2016-10-15"
"153","Boise State","","Brigham Young","W (28-27)","2016-10-20"
"154","Boise State","@","Wyoming","L (28-30)","2016-10-29"
"155","Boise State","","San Jose State","W (45-31)","2016-11-04"
"156","Boise State","@","Hawaii","W (52-16)","2016-11-12"
"157","Boise State","","Nevada-Las Vegas","W (42-25)","2016-11-18"
"158","Boston College","N","Georgia Tech","L (14-17)","2016-09-03"
"159","Boston College","@","Massachusetts","W (26-7)","2016-09-10"
"160","Boston College","@","Virginia Tech","L (0-49)","2016-09-17"
"161","Boston College","","Non-Major","W (42-10)","2016-09-24"
"162","Boston College","","Buffalo","W (35-3)","2016-10-01"
"163","Boston College","","Clemson","L (10-56)","2016-10-07"
"164","Boston College","","Syracuse","L (20-28)","2016-10-22"
"165","Boston College","@","North Carolina State","W (21-14)","2016-10-29"
"166","Boston College","","Louisville","L (7-52)","2016-11-05"
"167","Boston College","@","Florida State","L (7-45)","2016-11-11"
"168","Boston College","","Connecticut","W (30-0)","2016-11-19"
"169","Boston College","@","Wake Forest","W (17-14)","2016-11-26"
"170","Boston College","N","Maryland","W (36-30)","2016-12-26"
"171","Bowling Green State","@","Ohio State","L (10-77)","2016-09-03"
"172","Bowling Green State","","Non-Major","W (27-26)","2016-09-10"
"173","Bowling Green State","","Middle Tennessee State","L (21-41)","2016-09-17"
"174","Bowling Green State","@","Memphis","L (3-77)","2016-09-24"
"175","Bowling Green State","","Eastern Michigan","L (25-28)","2016-10-01"
"176","Bowling Green State","@","Ohio","L (24-30)","2016-10-08"
"177","Bowling Green State","@","Toledo","L (35-42)","2016-10-15"
"178","Bowling Green State","","Miami (OH)","L (26-40)","2016-10-22"
"179","Bowling Green State","@","Northern Illinois","L (20-45)","2016-11-01"
"180","Bowling Green State","","Kent State","W (42-7)","2016-11-15"
"181","Bowling Green State","","Buffalo","W (27-19)","2016-11-25"
"182","Brigham Young","@","Utah","L (19-20)","2016-09-10"
"183","Brigham Young","","UCLA","L (14-17)","2016-09-17"
"184","Brigham Young","N","West Virginia","L (32-35)","2016-09-24"
"185","Brigham Young","","Toledo","W (55-53)","2016-09-30"
"186","Brigham Young","@","Michigan State","W (31-14)","2016-10-08"
"187","Brigham Young","","Mississippi State","W (28-21)","2016-10-14"
"188","Brigham Young","@","Cincinnati","W (20-3)","2016-11-05"
"189","Brigham Young","","Non-Major","W (37-7)","2016-11-12"
"190","Brigham Young","","Massachusetts","W (51-9)","2016-11-19"
"191","Brigham Young","","Utah State","W (28-10)","2016-11-26"
"192","Brigham Young","N","Wyoming","W (24-21)","2016-12-21"
