"Team","X","Opponent","Date","Game.ID","Off.Pct","Off.Pass.Avg","Off.Rush.Avg","Off.Tot.Avg","Off.X1stDowns.PerPos","Off.X1stDowns.Avg","Off.Tot.TD","Off.TD.PossPct","Off.Points","Off.Points.PerPos","Off.FG.","Off.FGA.PossPct","Off.FGM.PossPct","Off.FGF.PossPct","Off.XP.","Off.XPM.PossPct","Off.XPF.PossPct","Off.Scoring.PossPct","Off.NonScoring.PossPct","Off.Negative.PossPct","Off.X3rdDown..Conversion..","Off.X4thDown..Conversion..","Off.RedZone..TD..","Off.Minus.Def.Points.Margin","Off.Minus.Def.Points.Margin.PerPos","Off.Minus.Def.TD.Margin","Off.Minus.Def.TD.Margin.PerPos","Off.Minus.Def.Yds.Margin.Avg","Def.Sfty","Def.Sfty.PossPct","Def.QB.Hurries","Def.QB.Hurries.PerPos","Def.QB.Hurries.Avg","Def.KicksPunts.Blocked","Def.KicksPunts.Blocked.Pct","Def.Tackles.Solo.Avg","Def.Tackles.Ast.Avg","Def.Tackles.Tot.Avg","Def.Tackles.Loss","Def.Tackles.Sk","Def.Tackles.Loss.PerPos","Def.Tackles.Sk.PerPos","Def.Tackles.Loss.Avg","Def.Tackles.Sk.Avg","Def.QB.Hurries.To.Pass.Att.Ratio","Def.Tackles.Sk.To.Pass.Att.Ratio","Def.Int.PD.PerPos","Def.Int.PD.Avg","Def.Fumbles.FF","Def.Fumbles.FF.PerPos","Def.Fumbles.FF.Avg","Def.Tot.TD.PossPct","Def.Tot.Pts.PerPos","Off.ST.Punting.Punts","Off_w_ST.Punt.PossPct","Off_w_ST.Punt.Sfty.PossPct","Off.ST.Punting.Avg","Off.ST.Return.TD","Off.ST.Return.Yds","Off.ST.Return.TD.PerRet","Off.ST.Return.Yds.PerRet","Off.ST.Return.TD.PossPct","Off.ST.Return.Yds.PerPos","Off_w_ST.Tot.TO","Off_w_ST.Tot.TO.PossPct","Off_w_ST.Tot.TO.NonScoring","Off_w_ST.Tot.TO.NonScoring.PossPct","Off_w_ST.Pts","Off_w_ST.Pts.PerPos","Off_w_ST.Yds.Avg","Off_w_ST.Yds","Off_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Pts.PerPos","Def_w_ST.TD","Def_w_ST.TD.PossPct","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin.Avg","Off_w_ST.TD.TO.Diff","Off_w_ST.Scoring.PossPct","Off_w_ST.FGM.PossPct","Off_w_ST.TD.PossPct","Off_w_ST.Empty.PossPct","Off_w_ST.FGF.PossPct","Off_w_ST.Negative.PossPct","Off_w_ST.Plays.PerPos","Homefield"
"Air Force","","Nevada-Las Vegas","2009-11-14",11,61.5,9.7,6.07,6.6,2.72727272727273,0.357142857142857,6,0.545454545454545,45,4.09090909090909,1,0.0909090909090909,0.0909090909090909,0,1,0.545454545454545,0,0.636363636363636,0.363636363636364,0,64.29,0,66.67,45,4.09090909090909,6,0.545454545454545,6.63095238095238,0,0,0,0,0,0,0,0.595238095238095,0.547619047619048,1.21518987341772,2,0,0.181818181818182,0,0.0253164556962025,0,0,0,0,0,0,0,0,0,0,1,0.0909090909090909,0.0909090909090909,41,0,37,0,12.3333333333333,0,3.36363636363636,1,0.0909090909090909,1,0.0909090909090909,45,4.09090909090909,6.82758620689655,594,6,0,0,0,0,45,4.09090909090909,6,0.545454545454545,594,6.82758620689655,5,0.636363636363636,0.0909090909090909,0.545454545454545,0.363636363636364,0,0,7.90909090909091,""
"Air Force","@","Brigham Young","2009-11-21",12,22.7,4,3.79,3.8,1.5,0.230769230769231,3,0.25,21,1.75,0,0.0833333333333333,0,0.0833333333333333,1,0.0833333333333333,0,0.25,0.75,0,25,85.71,66.67,21,1.75,3,0.25,3.34615384615385,0,0,1,0.0833333333333333,0.0128205128205128,0,0,0.448717948717949,0.948717948717949,1.78688524590164,4,1,0.333333333333333,0.0833333333333333,0.0655737704918033,0.0128205128205128,0.0454545454545455,0.0454545454545455,0.5,0.272727272727273,2,0.166666666666667,0.0327868852459016,0,0,3,0.25,0.25,45.67,0,147,0,18.375,0,12.25,4,0.333333333333333,4,0.333333333333333,21,1.75,5.19767441860465,447,3,0,0,0,0,21,1.75,3,0.25,408,4.74418604651163,-1,0.25,0,0.25,0.75,0.0833333333333333,0,7.16666666666667,"@"
"Air Force","N","Houston","2009-12-31",13,71.4,11.5,5.58,6.5,2.25,0.313953488372093,5,0.454545454545455,41,3.72727272727273,0.666666666666667,0.272727272727273,0.181818181818182,0.0909090909090909,0.833333333333333,0.416666666666667,0.0833333333333333,0.636363636363636,0.363636363636364,0,52.63,100,40,41,3.41666666666667,5,0.416666666666667,6.54651162790698,0,0,1,0.0833333333333333,0.0116279069767442,0,0,0.593023255813954,0.720930232558139,1.3780487804878,3,1,0.25,0.0833333333333333,0.0365853658536585,0.0116279069767442,0.0714285714285714,0.0714285714285714,0.166666666666667,0.142857142857143,0,0,0,0,0,2,0.166666666666667,0.166666666666667,42.5,1,178,0.166666666666667,29.6666666666667,0.0833333333333333,14.8333333333333,1,0.0833333333333333,1,0.0833333333333333,47,3.91666666666667,8.05434782608696,741,6,0,0,0,0,47,3.91666666666667,6,0.5,741,8.05434782608696,5,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0.0833333333333333,0,7.66666666666667,"N"
"Akron","@","Penn State","2009-09-05",14,54.2,6.6,0.93,3.4,0.666666666666667,0.148148148148148,1,0.0833333333333333,7,0.583333333333333,0,0,0,0,1,0.0833333333333333,0,0.0833333333333333,0.916666666666667,0,21.43,0,0,7,0.583333333333333,1,0.0833333333333333,3.22222222222222,0,0,0,0,0,0,0,0.574074074074074,0.425925925925926,1.25581395348837,13,4,1.08333333333333,0.333333333333333,0.302325581395349,0.0740740740740741,0,0.166666666666667,0.25,0.125,0,0,0,0,0,7,0.583333333333333,0.583333333333333,39,0,94,0,23.5,0,7.83333333333333,1,0.0833333333333333,1,0.0833333333333333,7,0.583333333333333,4.82758620689655,280,1,0,0,0,0,7,0.583333333333333,1,0.0833333333333333,268,4.62068965517241,0,0.0833333333333333,0,0.0833333333333333,0.916666666666667,0,0,4.83333333333333,"@"
"Akron","","Non-Major","2009-09-12",15,57.1,6.6,5.1,5.7,2.3,0.298701298701299,4,0.4,35,3.5,0.5,0.4,0.2,0.2,1,0.5,0,0.6,0.4,NA,64.71,0,50,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.1,0.1,24,0,42,0,8.4,0,4.2,0,0,0,0,35,3.5,5.82926829268293,478,4,0,0,0,0,35,3.5,4,0.4,NA,NA,4,0.6,0.2,0.4,0.4,0.2,0,8.2,""
"Akron","","Indiana","2009-09-19",16,60.9,7.2,3.53,5.1,1.33333333333333,0.30188679245283,2,0.181818181818182,15,1.36363636363636,0,0,0,0,1,0.25,0,0.181818181818182,0.818181818181818,0,14.29,0,100,15,1.25,2,0.166666666666667,2.54716981132075,0,0,0,0,0,0,0,0.811320754716981,0.264150943396226,1.29545454545455,8,3,0.666666666666667,0.25,0.181818181818182,0.0566037735849057,0,0.130434782608696,0.5,0.260869565217391,1,0.0833333333333333,0.0227272727272727,0,0,5,0.416666666666667,0.416666666666667,41.6,1,137,0.125,17.125,0.0833333333333333,11.4166666666667,4,0.333333333333333,4,0.333333333333333,21,1.75,6.68852459016393,408,3,0,0,0,0,21,1.75,3,0.25,272,4.45901639344262,-1,0.25,0,0.25,0.75,0,0,5.08333333333333,""
"Akron","@","Central Michigan","2009-09-26",17,63.2,6.7,1.86,3.5,1.25,0.267857142857143,3,0.25,21,1.75,0,0.0833333333333333,0,0.0833333333333333,1,0.25,0,0.25,0.75,0,8.33,0,100,21,1.75,3,0.25,3.5,0,0,3,0.25,0.0535714285714286,1,0.166666666666667,0.660714285714286,0.571428571428571,1.40816326530612,8,5,0.666666666666667,0.416666666666667,0.163265306122449,0.0892857142857143,0.157894736842105,0.263157894736842,0,0,1,0.0833333333333333,0.0204081632653061,0,0,5,0.416666666666667,0.416666666666667,41.4,0,187,0,23.375,0,15.5833333333333,1,0.0833333333333333,1,0.0833333333333333,21,1.75,5.984375,383,3,0,0,0,0,21,1.75,3,0.25,383,5.984375,2,0.25,0,0.25,0.75,0.0833333333333333,0,5.33333333333333,"@"
"Akron","","Ohio","2009-10-10",18,45.2,4.5,4.68,4.6,1.75,0.276315789473684,1,0.0833333333333333,7,0.583333333333333,0,0.166666666666667,0,0.166666666666667,1,0.0833333333333333,0,0.0833333333333333,0.916666666666667,0,47.06,66.67,33.33,7,0.583333333333333,1,0.0833333333333333,4.44736842105263,0,0,0,0,0,1,0.2,0.447368421052632,0.447368421052632,1.28301886792453,3,1,0.25,0.0833333333333333,0.0566037735849057,0.0131578947368421,0,0.0238095238095238,0.583333333333333,0.166666666666667,1,0.0833333333333333,0.0188679245283019,0,0,3,0.25,0.25,20.67,0,83,0,13.8333333333333,0,6.91666666666667,5,0.416666666666667,5,0.416666666666667,7,0.583333333333333,5.23170731707317,429,1,0,0,0,0,7,0.583333333333333,1,0.0833333333333333,421,5.13414634146341,-4,0.0833333333333333,0,0.0833333333333333,0.916666666666667,0.166666666666667,0,6.83333333333333,""
"Akron","@","Buffalo","2009-10-17",19,50,5.9,4.47,5.2,1.46153846153846,0.296875,2,0.153846153846154,17,1.30769230769231,0.5,0.153846153846154,0.0769230769230769,0.0769230769230769,1,0.153846153846154,0,0.230769230769231,0.769230769230769,0,35.71,0,40,17,1.30769230769231,2,0.153846153846154,4.359375,0,0,2,0.153846153846154,0.03125,0,0,0.53125,0.53125,1.4468085106383,4,2,0.307692307692308,0.153846153846154,0.0851063829787234,0.03125,0.0588235294117647,0.0588235294117647,0.461538461538462,0.176470588235294,2,0.153846153846154,0.0425531914893617,0,0,6,0.461538461538462,0.461538461538462,32.83,0,108,0,15.4285714285714,0,8.30769230769231,3,0.230769230769231,3,0.230769230769231,17,1.30769230769231,6.22535211267606,442,2,0,0,0,0,17,1.30769230769231,2,0.153846153846154,387,5.45070422535211,-1,0.230769230769231,0.0769230769230769,0.153846153846154,0.769230769230769,0.0769230769230769,0,5.46153846153846,"@"
"Akron","@","Syracuse","2009-10-24",20,64,7.6,0,3.9,0.692307692307692,0.183673469387755,1,0.0833333333333333,8,0.666666666666667,0,0.166666666666667,0,0.166666666666667,1,0.153846153846154,0,0.0833333333333333,0.916666666666667,0,9.09,0,50,8,0.615384615384615,1,0.0769230769230769,3.89795918367347,0,0,3,0.230769230769231,0.0612244897959184,0,0,0.693877551020408,0.408163265306122,1.35,8,5,0.615384615384615,0.384615384615385,0.2,0.102040816326531,0.12,0.2,0,0,2,0.153846153846154,0.05,0,0,7,0.538461538461538,0.538461538461538,41.71,1,213,0.166666666666667,35.5,0.0769230769230769,16.3846153846154,2,0.153846153846154,2,0.153846153846154,14,1.07692307692308,7.34545454545455,404,2,0,0,0,0,14,1.07692307692308,2,0.153846153846154,404,7.34545454545455,0,0.153846153846154,0,0.153846153846154,0.846153846153846,0.153846153846154,0,4.23076923076923,"@"
