"Team","X","Opponent","Date","Game.ID","Off.Plays","Off.Tot.Yds","Off.Tot.Avg","Off.Pass","Off.Rush","Off.Pen","Off.Tot","Off.Fum","Off.Tot.TD","Off.Pass.Att","Off.Cmp","Off.Pct","Off.Pass.Yds","Off.Pass.Avg","Off.Pass.TD","Off.Int","Off.Rush.Att","Off.Rush.Yds","Off.Rush.Avg","Off.Rush.TD","Off.X.2PM","Off.X.2PM.Pass","Off.X.2PM.Rush","Off.Points","Off.FGA","Off.FGM","Off.XPA","Off.XPM","Off.X3rdDown..Attempts","Off.X3rdDown..Conversions","Off.X3rdDown..Conversion..","Off.X4thDown..Attempts","Off.X4thDown..Conversions","Off.X4thDown..Conversion..","Off.RedZone..Attempts","Off.RedZone..Scores","Off.RedZone..Score..","Off.RedZone..TD","Off.RedZone..TD..","Off.RedZone..FG","Off.RedZone..FG..","Off.FGF","Off.FG.","Off.XPF","Off.XP.","Off.Incmp","Off.X3rdDown..Failed","Off.Tot.TO","Off.Points.Team","Off.Pass.Pts","Off.Rush.Pts","Off.Kicking.Pts","Off.ST.KickRet.Ret","Off.ST.KickRet.Yds","Off.ST.KickRet.Avg","Off.ST.KickRet.TD","Off.ST.PuntRet.Ret","Off.ST.PuntRet.Yds","Off.ST.PuntRet.Avg","Off.ST.PuntRet.TD","Off.ST.Punting.Punts","Off.ST.Punting.Yds","Off.ST.Punting.Avg","Off.ST.Kickoff.No","Off.ST.Kickoff.Yds","Off.ST.Kickoff.Avg","Off.ST.Kickoff.Touchbacks","Off.ST.Kickoff.Touchbacks..","Off.ST.Kickoff.OutOfBounds","Off.ST.Kickoff.Onside","Off.ST.Tot.TO","Off.ST.Return.TD","Off.ST.Return.Points","Off.ST.Return.Yds","Off.ST.Return.Ret","Off.ST.Return.Avg","Def.FGR.TD","Def.Sfty","Def.QB.Hurries","Def.KicksPunts.Blocked","Def.Points.Team","Def.Tackles.Solo","Def.Tackles.Ast","Def.Tackles.Tot","Def.Tackles.Loss","Def.Tackles.Sk","Def.Int.Int","Def.Int.Yds","Def.Int.Avg","Def.Int.TD","Def.Int.PD","Def.Fumbles.FR","Def.Fumbles.Yds","Def.Fumbles.TD","Def.Fumbles.FF","Def.Tot.Yds","Def.Tot.TD","Def.Tot.Pts","Def.Tot.TO","Def.ST.KicksPunts.Blocked","Def.ST.Fumbles.TD","Def.ST.Receiving.TD","Def.ST.Receiving.Pts","Off_w_ST.Tot.TO","Off_w_ST.Fum","Off_w_ST.Int","Def_w_ST.Tot.Fumbles.TD","Off.X4thDown..Failed","Off_w_ST.Plays","Off_w_ST.Yds","Off_w_ST.Yds.Avg","Off_w_ST.Pts","Off_w_ST.TD","Def_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Yds","Off.Minus.Def.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off.Minus.Def.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off.Minus.Def.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.TD.TO.Diff","Off_w_ST.Tot.TO.NonScoring","Off.TD.FR.by.Off","No.Possessions","No.Empty.Possessions","No.Scoring.Possessions","No.Negative.Possessions","Homefield"
"Air Force","","Non-Major","2009-09-05",1,75,576,7.7,3,20,1,24,NA,9,7,5,71.4,102,14.6,1,0,68,474,6.97,8,0,0,0,66,1,1,10,9,15,8,53.33,3,3,100,9,9,100,8,88.89,1,11.11,0,1,1,0.9,2,7,NA,72,6,48,12,0,0,0,0,2,46,23,0,3,131,43.67,12,754,62.83,3,25,0,0,NA,0,0,46,2,23,0,0,NA,NA,72,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,77,622,8.07792207792208,66,9,0,0,NA,NA,66,NA,NA,NA,9,9,0,0,13,3,10,0,""
"Air Force","@","Minnesota","2009-09-12",2,83,386,4.7,5,18,1,24,1,1,17,10,58.8,125,7.4,1,0,66,261,3.95,0,0,0,0,13,2,2,1,1,21,12,57.14,3,2,66.67,3,2,66.67,0,0,2,66.67,0,1,0,1,7,9,1,13,6,0,7,3,90,30,0,0,0,0,0,4,158,39.5,3,189,63,0,0,0,1,0,0,0,90,3,30,0,0,0,0,13,60,34,94,4,1,0,0,0,0,1,1,52,1,2,52,1,6,1,0,0,0,0,1,1,0,1,1,86,476,5.53488372093023,13,1,1,6,52,7,7,334,424,0,0,0,0,0,9,6,3,1,"@"
"Air Force","@","New Mexico","2009-09-19",3,79,371,4.7,4,17,2,23,0,3,7,4,57.1,73,10.4,1,0,72,298,4.14,2,0,0,0,31,5,3,4,4,17,9,52.94,2,1,50,6,5,83.33,2,33.33,3,50,2,0.6,0,1,3,8,0,37,6,12,13,3,96,32,0,3,51,17,0,1,43,43,8,494,61.75,0,0,0,0,1,0,0,147,6,24.5,0,0,0,1,37,45,68,113,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,85,518,6.09411764705882,31,3,0,0,0,31,31,371,518,3,3,2,1,0,11,5,6,0,"@"
"Air Force","","San Diego State","2009-09-26",4,65,294,4.5,2,10,0,12,0,0,7,3,42.9,51,7.3,0,0,58,243,4.19,0,0,0,0,14,6,4,2,2,19,7,36.84,1,0,0,3,2,66.67,0,0,2,66.67,2,0.666666666666667,0,1,4,12,0,26,0,0,14,1,32,32,0,3,29,9.67,0,7,319,45.57,6,420,70,5,83.33,0,0,0,0,0,61,4,15.25,0,1,0,0,26,31,64,95,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,69,355,5.14492753623188,14,0,0,0,0,12,14,294,355,0,0,0,0,0,15,11,4,1,""
"Air Force","@","Navy","2009-10-03",5,67,240,3.6,3,11,0,14,0,0,14,6,42.9,57,4.1,0,1,53,183,3.45,0,0,0,0,7,3,2,1,1,16,3,18.75,4,3,75,2,1,50,0,0,1,50,1,0.666666666666667,0,1,8,13,1,13,0,0,7,3,56,18.67,0,3,3,1,0,5,209,41.8,3,200,66.67,1,33.33,0,0,1,0,0,59,6,9.83333333333333,0,0,0,0,13,39,46,85,4,0,1,33,33,0,6,0,0,0,1,33,0,0,1,0,0,0,0,2,1,1,0,1,73,299,4.0958904109589,7,0,0,0,33,7,7,207,266,0,0,-2,2,0,11,9,2,0,"@"
"Air Force","","Texas Christian","2009-10-10",6,63,287,4.6,2,11,1,14,0,2,18,7,38.9,58,3.2,1,0,45,229,5.09,1,0,0,0,17,1,1,2,2,16,5,31.25,3,2,66.67,3,3,100,2,66.67,1,33.33,0,1,0,1,11,11,0,17,6,6,5,5,120,24,0,0,0,0,0,7,305,43.57,3,199,66.33,0,0,0,1,0,0,0,120,5,24,0,0,0,0,17,37,32,69,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,407,5.98529411764706,17,2,0,0,0,17,17,287,407,2,2,2,0,0,11,8,3,0,""
"Air Force","","Wyoming","2009-10-17",7,74,269,3.6,0,17,0,17,0,1,5,1,20,2,0.4,0,0,69,267,3.87,1,0,0,0,10,1,1,1,1,18,7,38.89,4,2,50,3,2,66.67,1,33.33,1,33.33,0,1,0,1,4,11,0,10,0,6,4,1,19,19,0,4,15,3.75,0,6,246,41,3,196,65.33,2,66.67,0,0,0,0,0,34,5,6.8,0,0,0,0,10,42,62,104,7,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,79,303,3.83544303797468,10,1,0,0,0,10,10,269,303,1,1,1,0,0,10,8,2,0,""
"Air Force","@","Utah","2009-10-24",8,85,318,3.7,3,16,1,20,0,1,10,7,70,64,6.4,0,0,75,254,3.39,1,0,0,0,16,3,3,1,1,20,8,40,2,1,50,4,3,75,1,25,2,50,0,1,0,1,3,12,0,16,0,6,10,3,54,18,0,3,35,11.67,0,7,292,41.71,5,321,64.2,0,0,0,0,1,0,0,89,6,14.8333333333333,0,0,0,0,16,40,92,132,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,91,407,4.47252747252747,16,1,0,0,0,16,16,318,407,1,1,0,1,0,13,9,4,0,"@"
"Air Force","@","Colorado State","2009-10-31",9,71,382,5.4,5,18,2,25,0,4,12,7,58.3,111,9.3,2,0,59,271,4.59,2,1,1,0,34,2,2,3,2,16,11,68.75,2,2,100,5,4,80,3,60,1,20,0,1,1,0.666666666666667,5,5,0,34,14,12,8,3,58,19.33,0,0,0,0,0,1,34,34,6,384,64,1,16.67,0,0,1,0,0,58,3,19.3333333333333,0,0,1,0,34,28,70,98,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,74,440,5.94594594594595,34,4,0,0,0,34,34,382,440,4,4,3,1,0,8,2,6,0,"@"
"Air Force","","Army","2009-11-07",10,58,291,5,3,10,0,13,0,4,7,4,57.1,131,18.7,1,0,51,160,3.14,3,0,0,0,29,1,0,5,5,15,6,40,2,2,100,2,2,100,2,100,0,0,1,0,0,1,3,9,0,35,6,18,5,1,18,18,0,3,125,41.67,1,6,289,48.17,6,354,59,3,50,1,0,0,1,6,143,4,35.75,0,0,0,0,35,28,50,78,12,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,434,7,35,5,0,0,0,29,35,291,434,4,5,5,0,0,12,7,5,0,""
