"Team","X","Opponent","Date","Game.ID","Off.Pct","Off.Pass.Avg","Off.Rush.Avg","Off.Tot.Avg","Off.X1stDowns.PerPos","Off.X1stDowns.Avg","Off.Tot.TD","Off.TD.PossPct","Off.Points","Off.Points.PerPos","Off.FG.","Off.FGA.PossPct","Off.FGM.PossPct","Off.FGF.PossPct","Off.XP.","Off.XPM.PossPct","Off.XPF.PossPct","Off.Scoring.PossPct","Off.NonScoring.PossPct","Off.Negative.PossPct","Off.X3rdDown..Conversion..","Off.X4thDown..Conversion..","Off.RedZone..TD..","Off.Minus.Def.Points.Margin","Off.Minus.Def.Points.Margin.PerPos","Off.Minus.Def.TD.Margin","Off.Minus.Def.TD.Margin.PerPos","Off.Minus.Def.Yds.Margin.Avg","Def.Sfty","Def.Sfty.PossPct","Def.QB.Hurries","Def.QB.Hurries.PerPos","Def.QB.Hurries.Avg","Def.KicksPunts.Blocked","Def.KicksPunts.Blocked.Pct","Def.Tackles.Solo.Avg","Def.Tackles.Ast.Avg","Def.Tackles.Tot.Avg","Def.Tackles.Loss","Def.Tackles.Sk","Def.Tackles.Loss.PerPos","Def.Tackles.Sk.PerPos","Def.Tackles.Loss.Avg","Def.Tackles.Sk.Avg","Def.QB.Hurries.To.Pass.Att.Ratio","Def.Tackles.Sk.To.Pass.Att.Ratio","Def.Int.PD.PerPos","Def.Int.PD.Avg","Def.Fumbles.FF","Def.Fumbles.FF.PerPos","Def.Fumbles.FF.Avg","Def.Tot.TD.PossPct","Def.Tot.Pts.PerPos","Off.ST.Punting.Punts","Off_w_ST.Punt.PossPct","Off_w_ST.Punt.Sfty.PossPct","Off.ST.Punting.Avg","Off.ST.Return.TD","Off.ST.Return.Yds","Off.ST.Return.TD.PerRet","Off.ST.Return.Yds.PerRet","Off.ST.Return.TD.PossPct","Off.ST.Return.Yds.PerPos","Off_w_ST.Tot.TO","Off_w_ST.Tot.TO.PossPct","Off_w_ST.Tot.TO.NonScoring","Off_w_ST.Tot.TO.NonScoring.PossPct","Off_w_ST.Pts","Off_w_ST.Pts.PerPos","Off_w_ST.Yds.Avg","Off_w_ST.Yds","Off_w_ST.TD","Def_w_ST.Pts","Def_w_ST.Pts.PerPos","Def_w_ST.TD","Def_w_ST.TD.PossPct","Off_w_ST.Minus.Def_w_ST.Points.Margin","Off_w_ST.Minus.Def_w_ST.Points.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.TD.Margin","Off_w_ST.Minus.Def_w_ST.TD.Margin.PerPos","Off_w_ST.Minus.Def_w_ST.Yds.Margin","Off_w_ST.Minus.Def_w_ST.Yds.Margin.Avg","Off_w_ST.TD.TO.Diff","Off_w_ST.Scoring.PossPct","Off_w_ST.FGM.PossPct","Off_w_ST.TD.PossPct","Off_w_ST.Empty.PossPct","Off_w_ST.FGF.PossPct","Off_w_ST.Negative.PossPct","Off_w_ST.Plays.PerPos","Homefield"
"Air Force","","Nevada-Las Vegas","2009-11-14",11,56.5,5.9,3.77,4.5,1.45454545454545,0.258064516129032,2,0.181818181818182,17,1.54545454545455,1,0.0909090909090909,0.0909090909090909,0,1,0.181818181818182,0,0.272727272727273,0.727272727272727,0,15.38,75,33.33,17,1.54545454545455,2,0.181818181818182,4.54838709677419,0,0,0,0,0,0,0,0.709677419354839,0.32258064516129,1.23076923076923,4,1,0.363636363636364,0.0909090909090909,0.0769230769230769,0.0161290322580645,0,0.0434782608695652,0.363636363636364,0.173913043478261,0,0,0,0,0,6,0.545454545454545,0.545454545454545,43.33,0,102,0,17,0,9.27272727272727,1,0.0909090909090909,1,0.0909090909090909,17,1.54545454545455,5.64705882352941,384,2,0,0,0,0,17,1.54545454545455,2,0.181818181818182,384,5.64705882352941,1,0.272727272727273,0.0909090909090909,0.181818181818182,0.727272727272727,0,0,6.18181818181818,""
"Air Force","@","Brigham Young","2009-11-21",12,73.3,8.4,4.84,7.1,2.16666666666667,0.371428571428571,5,0.416666666666667,38,3.16666666666667,0.5,0.166666666666667,0.0833333333333333,0.0833333333333333,1,0.416666666666667,0,0.5,0.5,0,60,0,71.43,38,3.16666666666667,5,0.416666666666667,6.87142857142857,0,0,5,0.416666666666667,0.0714285714285714,1,0.333333333333333,0.628571428571429,0.485714285714286,1.3448275862069,3,0,0.25,0,0.0517241379310345,0,0.111111111111111,0,0.25,0.0666666666666667,1,0.0833333333333333,0.0172413793103448,0,0,1,0.0833333333333333,0.0833333333333333,41,0,69,0,11.5,0,5.75,3,0.25,3,0.25,38,3.16666666666667,7.46052631578947,567,5,0,0,0,0,38,3.16666666666667,5,0.416666666666667,550,7.23684210526316,2,0.5,0.0833333333333333,0.416666666666667,0.5,0.0833333333333333,0,6.33333333333333,"@"
"Air Force","N","Houston","2009-12-31",13,58.5,5.4,5.45,5.4,1.38461538461538,0.295081967213115,1,0.0833333333333333,14,1.16666666666667,1,0.166666666666667,0.166666666666667,0,1,0.153846153846154,0,0.25,0.75,0,40,50,33.33,14,1.07692307692308,1,0.0769230769230769,4.77049180327869,0,0,1,0.0769230769230769,0.0163934426229508,0,0,0.573770491803279,0.327868852459016,1.25,1,0,0.0769230769230769,0,0.0227272727272727,0,0.024390243902439,0,0.461538461538462,0.146341463414634,0,0,0,0,0,2,0.153846153846154,0.153846153846154,45.5,1,128,0.142857142857143,18.2857142857143,0.0769230769230769,9.84615384615385,6,0.461538461538462,6,0.461538461538462,20,1.53846153846154,6.75,459,2,0,0,0,0,20,1.53846153846154,2,0.153846153846154,419,6.16176470588235,-4,0.307692307692308,0.153846153846154,0.153846153846154,0.692307692307692,0,0,5.23076923076923,"N"
"Akron","@","Penn State","2009-09-05",14,72.7,8.6,4.53,7,2.08333333333333,0.337837837837838,4,0.333333333333333,31,2.58333333333333,0.333333333333333,0.25,0.0833333333333333,0.166666666666667,1,0.333333333333333,0,0.416666666666667,0.583333333333333,0,53.33,100,50,31,2.58333333333333,4,0.333333333333333,6.95945945945946,0,0,0,0,0,0,0,0.554054054054054,0.5,1.25806451612903,5,1,0.416666666666667,0.0833333333333333,0.0806451612903226,0.0135135135135135,0,0.0227272727272727,0.416666666666667,0.113636363636364,1,0.0833333333333333,0.0161290322580645,0,0,3,0.25,0.25,40.33,0,45,0,15,0,3.75,2,0.166666666666667,2,0.166666666666667,31,2.58333333333333,7.27272727272727,560,4,0,0,0,0,31,2.58333333333333,4,0.333333333333333,560,7.27272727272727,2,0.416666666666667,0.0833333333333333,0.333333333333333,0.583333333333333,0.166666666666667,0,6.41666666666667,"@"
"Akron","","Non-Major","2009-09-12",15,55,4.3,1.78,3,0.272727272727273,0.0697674418604651,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,1,0.0909090909090909,8.33,100,0,-6,-0.545454545454545,-1,-0.0909090909090909,1.34883720930233,0,0,0,0,0,0,0,0.465116279069767,0.790697674418605,1.58823529411765,8,1,0.727272727272727,0.0909090909090909,0.235294117647059,0.0232558139534884,0,0.05,0.454545454545455,0.25,2,0.181818181818182,0.0588235294117647,0.0909090909090909,0.545454545454545,8,0.727272727272727,0.727272727272727,37.13,0,98,0,16.3333333333333,0,8.90909090909091,2,0.181818181818182,1,0.0909090909090909,0,0,4.59183673469388,225,0,6,0.545454545454545,1,0.0909090909090909,-6,-0.545454545454545,-1,-0.0909090909090909,156,3.18367346938776,-2,0,0,0,1,0.0909090909090909,0.0909090909090909,4.45454545454545,""
"Akron","","Indiana","2009-09-19",16,64.5,5.6,3.91,4.6,1.83333333333333,0.285714285714286,4,0.363636363636364,32,2.90909090909091,0.5,0.181818181818182,0.0909090909090909,0.0909090909090909,1,0.416666666666667,0,0.454545454545455,0.545454545454545,0,66.67,0,80,32,2.66666666666667,4,0.333333333333333,4.61038961038961,0,0,0,0,0,2,0.4,0.766233766233766,0.207792207792208,1.13636363636364,1,0,0.0833333333333333,0,0.0151515151515152,0,0,0,0.333333333333333,0.129032258064516,1,0.0833333333333333,0.0151515151515152,0,0,3,0.25,0.25,31,1,121,0.25,30.25,0.0833333333333333,10.0833333333333,2,0.166666666666667,2,0.166666666666667,38,3.16666666666667,5.87654320987654,476,5,0,0,0,0,38,3.16666666666667,5,0.416666666666667,476,5.87654320987654,3,0.5,0.0833333333333333,0.416666666666667,0.5,0.0833333333333333,0,6.75,""
"Akron","@","Central Michigan","2009-09-26",17,74.2,6.4,6.15,6.2,2.5,0.357142857142857,7,0.583333333333333,48,4,0,0.0833333333333333,0,0.0833333333333333,0.857142857142857,0.5,0.0833333333333333,0.583333333333333,0.416666666666667,0,71.43,0,75,48,4,7,0.583333333333333,6.21428571428571,0,0,1,0.0833333333333333,0.0119047619047619,0,0,0.654761904761905,0.380952380952381,1.14473684210526,3,0,0.25,0,0.0394736842105263,0,0.032258064516129,0,0.0833333333333333,0.032258064516129,2,0.166666666666667,0.0263157894736842,0,0,1,0.0833333333333333,0.0833333333333333,16,0,55,0,9.16666666666667,0,4.58333333333333,1,0.0833333333333333,1,0.0833333333333333,48,4,6.42222222222222,578,7,0,0,0,0,48,4,7,0.583333333333333,577,6.41111111111111,6,0.583333333333333,0,0.583333333333333,0.416666666666667,0.0833333333333333,0,7.5,"@"
"Akron","","Ohio","2009-10-10",18,52.4,6.3,3.9,4.7,1.16666666666667,0.225806451612903,1,0.0909090909090909,13,1.18181818181818,1,0.181818181818182,0.181818181818182,0,1,0.0833333333333333,0,0.272727272727273,0.727272727272727,0,33.33,50,20,13,1.08333333333333,1,0.0833333333333333,4.70967741935484,0,0,0,0,0,0,0,0.67741935483871,0.258064516129032,1.11538461538462,6,0,0.5,0,0.115384615384615,0,0,0,0.333333333333333,0.19047619047619,0,0,0,0,0,5,0.416666666666667,0.416666666666667,31.6,1,72,0.25,18,0.0833333333333333,6,2,0.166666666666667,2,0.166666666666667,19,1.58333333333333,5.51515151515152,364,2,0,0,0,0,19,1.58333333333333,2,0.166666666666667,364,5.51515151515152,0,0.333333333333333,0.166666666666667,0.166666666666667,0.666666666666667,0,0,5.5,""
"Akron","@","Buffalo","2009-10-17",19,57.1,5.9,2.89,4.3,1.58333333333333,0.263888888888889,3,0.25,21,1.75,0,0,0,0,1,0.25,0,0.25,0.75,0,42.86,0,100,21,1.75,3,0.25,4.15277777777778,0,0,1,0.0833333333333333,0.0138888888888889,0,0,0.527777777777778,0.555555555555556,1.36842105263158,9,2,0.75,0.166666666666667,0.157894736842105,0.0277777777777778,0.0285714285714286,0.0571428571428571,0.5,0.171428571428571,1,0.0833333333333333,0.0175438596491228,0,0,6,0.5,0.5,31,0,79,0,15.8,0,6.58333333333333,2,0.166666666666667,1,0.0833333333333333,21,1.75,5.07792207792208,391,3,6,0.5,1,0.0833333333333333,15,1.25,2,0.166666666666667,378,4.90909090909091,1,0.25,0,0.25,0.75,0,0.0833333333333333,6.41666666666667,"@"
"Akron","@","Syracuse","2009-10-24",20,66.7,5.8,5.09,5.3,1.66666666666667,0.3125,4,0.333333333333333,28,2.33333333333333,0,0.0833333333333333,0,0.0833333333333333,1,0.333333333333333,0,0.333333333333333,0.666666666666667,0,22.22,100,80,28,2.33333333333333,4,0.333333333333333,5.296875,0,0,2,0.166666666666667,0.03125,0,0,0.5625,0.53125,1.20689655172414,4,1,0.333333333333333,0.0833333333333333,0.0689655172413793,0.015625,0.111111111111111,0.0555555555555556,0,0,0,0,0,0,0,5,0.416666666666667,0.416666666666667,38.4,0,87,0,12.4285714285714,0,7.25,2,0.166666666666667,2,0.166666666666667,28,2.33333333333333,6,426,4,0,0,0,0,28,2.33333333333333,4,0.333333333333333,426,6,2,0.333333333333333,0,0.333333333333333,0.666666666666667,0.0833333333333333,0,5.91666666666667,"@"
