"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (49-21)","2012-09-01"
"2","Air Force","@","Michigan","L (25-31)","2012-09-08"
"3","Air Force","@","Nevada-Las Vegas","L (35-38)","2012-09-22"
"4","Air Force","","Colorado State","W (42-21)","2012-09-29"
"5","Air Force","","Navy","L (21-28)","2012-10-06"
"6","Air Force","@","Wyoming","W (28-27)","2012-10-13"
"7","Air Force","","New Mexico","W (28-23)","2012-10-20"
"8","Air Force","","Nevada","W (48-31)","2012-10-26"
"9","Air Force","@","Army","L (21-41)","2012-11-03"
"10","Air Force","@","San Diego State","L (9-28)","2012-11-10"
"11","Air Force","","Hawaii","W (21-7)","2012-11-16"
"12","Air Force","@","Fresno State","L (15-48)","2012-11-24"
"13","Air Force","N","Rice","L (14-33)","2012-12-29"
"14","Akron","","Central Florida","L (14-56)","2012-08-30"
"15","Akron","@","Florida International","L (38-41)","2012-09-08"
"16","Akron","","Non-Major","W (66-6)","2012-09-15"
"17","Akron","@","Tennessee","L (26-47)","2012-09-22"
"18","Akron","","Miami (OH)","L (49-56)","2012-09-29"
"19","Akron","","Bowling Green State","L (10-24)","2012-10-06"
"20","Akron","@","Ohio","L (28-34)","2012-10-13"
"21","Akron","","Northern Illinois","L (7-37)","2012-10-20"
"22","Akron","@","Central Michigan","L (14-35)","2012-10-27"
"23","Akron","@","Kent State","L (24-35)","2012-11-03"
"24","Akron","","Massachusetts","L (14-22)","2012-11-10"
"25","Akron","@","Toledo","L (23-35)","2012-11-20"
"26","Alabama-Birmingham","","Troy","L (29-39)","2012-09-01"
"27","Alabama-Birmingham","@","South Carolina","L (6-49)","2012-09-15"
"28","Alabama-Birmingham","@","Ohio State","L (15-29)","2012-09-22"
"29","Alabama-Birmingham","","Tulsa","L (42-49)","2012-09-29"
"30","Alabama-Birmingham","","Non-Major","W (52-3)","2012-10-06"
"31","Alabama-Birmingham","@","Houston","L (17-39)","2012-10-13"
"32","Alabama-Birmingham","","East Carolina","L (35-42)","2012-10-20"
"33","Alabama-Birmingham","@","Tulane","L (45-55)","2012-10-27"
"34","Alabama-Birmingham","@","Southern Mississippi","W (27-19)","2012-11-03"
"35","Alabama-Birmingham","","Marshall","W (38-31)","2012-11-10"
"36","Alabama-Birmingham","","Memphis","L (9-46)","2012-11-17"
"37","Alabama-Birmingham","@","Central Florida","L (24-49)","2012-11-24"
"38","Alabama","N","Michigan","W (41-14)","2012-09-01"
"39","Alabama","","Western Kentucky","W (35-0)","2012-09-08"
"40","Alabama","@","Arkansas","W (52-0)","2012-09-15"
