"","Team","X","Opponent","Result","Date"
"1","Air Force","","South Dakota","W (37-20)","2011-09-03"
"2","Air Force","","Texas Christian","L (19-35)","2011-09-10"
"3","Air Force","","Tennessee State","W (63-24)","2011-09-24"
"4","Air Force","@","Navy","W (35-34)","2011-10-01"
"5","Air Force","@","Notre Dame","L (33-59)","2011-10-08"
"6","Air Force","","San Diego State","L (27-41)","2011-10-13"
"7","Air Force","@","Boise State","L (26-37)","2011-10-22"
"8","Air Force","@","New Mexico","W (42-0)","2011-10-29"
"9","Air Force","","Army","W (24-14)","2011-11-05"
"10","Air Force","","Wyoming","L (17-25)","2011-11-12"
"11","Air Force","","Nevada-Las Vegas","W (45-17)","2011-11-19"
"12","Air Force","@","Colorado State","W (45-21)","2011-11-26"
"13","Air Force","N","Toledo","L (41-42)","2011-12-28"
"14","Akron","@","Ohio State","L (0-42)","2011-09-03"
"15","Akron","","Temple","L (3-41)","2011-09-10"
"16","Akron","@","Cincinnati","L (14-59)","2011-09-17"
"17","Akron","","Virginia Military Institute","W (36-13)","2011-09-24"
"18","Akron","@","Eastern Michigan","L (23-31)","2011-10-01"
"19","Akron","","Florida International","L (17-27)","2011-10-08"
"20","Akron","","Ohio","L (20-37)","2011-10-22"
"21","Akron","","Central Michigan","L (22-23)","2011-10-29"
"22","Akron","@","Miami (OH)","L (3-35)","2011-11-03"
"23","Akron","","Kent State","L (3-35)","2011-11-12"
"24","Akron","@","Buffalo","L (10-51)","2011-11-19"
"25","Akron","@","Western Michigan","L (19-68)","2011-11-25"
"26","Alabama-Birmingham","@","Florida","L (0-39)","2011-09-10"
"27","Alabama-Birmingham","","Tulane","L (10-49)","2011-09-17"
"28","Alabama-Birmingham","@","East Carolina","L (23-28)","2011-09-24"
"29","Alabama-Birmingham","@","Troy","L (23-24)","2011-10-01"
"30","Alabama-Birmingham","","Mississippi State","L (3-21)","2011-10-08"
"31","Alabama-Birmingham","@","Tulsa","L (20-37)","2011-10-15"
"32","Alabama-Birmingham","","Central Florida","W (26-24)","2011-10-20"
"33","Alabama-Birmingham","@","Marshall","L (14-59)","2011-10-29"
"34","Alabama-Birmingham","","Houston","L (13-56)","2011-11-05"
"35","Alabama-Birmingham","@","Memphis","W (41-35)","2011-11-12"
"36","Alabama-Birmingham","","Southern Mississippi","W (34-31)","2011-11-17"
"37","Alabama-Birmingham","@","Florida Atlantic","L (35-38)","2011-11-26"
"38","Alabama","","Kent State","W (48-7)","2011-09-03"
"39","Alabama","@","Penn State","W (27-11)","2011-09-10"
"40","Alabama","","North Texas","W (41-0)","2011-09-17"
"41","Alabama","","Arkansas","W (38-14)","2011-09-24"
